"Format","AiM CSV File"
"Session","PittRace"
"Vehicle","GG25"
"Racer","Jacob - James - Kobe"
"Championship","Pittsburgh"
"Comment",""
"Date","Friday, August 1, 2025"
"Time","11:24 AM"
"Sample Rate","20"
"Duration","26"
"Segment","Session"
"Beacon Markers","26"
"Segment Times","0:26.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","0.2902","11","0.0000","0.0000","49.0872","-176.1369","0.0000","325.0401","44.9000","0.2400","10000.0000","40.84839426","-80.34625710"
"0.050","0.2902","11","0.0000","0.0000","49.0872","-176.1369","0.0000","325.0401","44.9000","0.2400","10000.0000","40.84839426","-80.34625710"
"0.100","0.2902","11","0.0000","0.0000","49.0872","-176.1369","0.0000","325.0401","44.9000","0.2400","10000.0000","40.84839426","-80.34625710"
"0.150","0.2902","11","0.0000","0.0000","49.0872","-176.1369","0.0000","325.0401","44.9000","0.2400","10000.0000","40.84839426","-80.34625710"
"0.200","0.2902","11","0.0000","0.0000","49.0872","-176.1369","0.0000","325.0401","44.9000","0.2400","10000.0000","40.84839426","-80.34625710"
"0.250","0.2908","11","0.0000","0.0000","48.9951","-129.9076","0.0000","325.0475","44.9000","0.2350","10000.0000","40.84839427","-80.34625708"
"0.300","0.2919","11","0.0000","0.0000","48.8109","-37.4492","0.0000","325.0621","44.9000","0.2250","10000.0000","40.84839427","-80.34625704"
"0.350","0.3447","11","0.0000","0.0000","43.0030","-9.6315","0.0000","325.0735","44.9000","0.2475","10000.0000","40.84839427","-80.34625715"
"0.400","0.4492","11","0.0000","0.0000","31.5715","-46.4545","0.0000","325.0817","44.9000","0.3025","10000.0000","40.84839427","-80.34625740"
"0.450","0.4469","11","0.0000","0.0000","30.9581","-57.9554","0.0000","325.0885","44.9000","0.3200","10000.0000","40.84839421","-80.34625748"
"0.500","0.3380","11","0.0000","0.0000","41.1626","-44.1341","0.0000","325.0940","44.9000","0.3000","10000.0000","40.84839411","-80.34625739"
"0.550","0.3350","11","0.0000","0.0000","41.4544","-38.0700","0.0000","325.0979","44.9000","0.3025","10000.0000","40.84839405","-80.34625740"
"0.600","0.4381","11","0.0000","0.0000","31.8335","-39.7633","0.0000","325.1004","44.9000","0.3275","10000.0000","40.84839403","-80.34625753"
"0.650","0.4983","12","0.0000","0.0000","25.5002","-46.3205","0.0000","325.1009","44.8750","0.3400","10000.0000","40.84839400","-80.34625768"
"0.700","0.5155","12","0.0000","0.0000","22.4545","-57.7416","0.0000","325.0995","44.8250","0.3400","10000.0000","40.84839395","-80.34625787"
"0.750","0.5214","12","0.0000","0.0000","21.0900","-61.6410","0.0000","325.0986","44.8000","0.3400","10000.0000","40.84839390","-80.34625800"
"0.800","0.5157","12","0.0000","0.0000","21.4067","-58.0188","0.0000","325.0985","44.8000","0.3400","10000.0000","40.84839384","-80.34625806"
"0.850","0.5580","12","0.0000","0.0000","19.6945","-50.2513","0.0000","325.0975","44.8000","0.3400","10000.0000","40.84839385","-80.34625815"
