"Format","AiM CSV File"
"Session","PittRace"
"Vehicle","GG25"
"Racer","Jacob - James - Kobe"
"Championship","Pittsburgh"
"Comment",""
"Date","Friday, August 1, 2025"
"Time","2:38 PM"
"Sample Rate","20"
"Duration","52"
"Segment","Session"
"Beacon Markers","52"
"Segment Times","0:52.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","0.1138","14","0.0000","0.0000","-22.6240","-176.7066","0.0000","316.9806","37.2000","0.2300","10000.0000","40.84904208","-80.34639924"
"0.050","0.1138","14","0.0000","0.0000","-22.6240","-176.7066","0.0000","316.9806","37.2000","0.2300","10000.0000","40.84904208","-80.34639924"
"0.100","0.1138","14","0.0000","0.0000","-22.6240","-176.7066","0.0000","316.9806","37.2000","0.2300","10000.0000","40.84904208","-80.34639924"
"0.150","0.1138","14","0.0000","0.0000","-22.6240","-176.7066","0.0000","316.9806","37.2000","0.2300","10000.0000","40.84904208","-80.34639924"
"0.200","0.1138","14","0.0000","0.0000","-22.6240","-176.7066","0.0000","316.9806","37.2000","0.2300","10000.0000","40.84904208","-80.34639924"
"0.250","0.1138","14","0.0000","0.0000","-22.6240","-176.7066","0.0000","316.9806","37.2000","0.2300","10000.0000","40.84904208","-80.34639924"
"0.300","0.1138","14","0.0000","0.0000","-22.6240","-176.7066","0.0000","316.9806","37.2000","0.2300","10000.0000","40.84904208","-80.34639924"
"0.350","0.1138","14","0.0000","0.0000","-22.6240","-176.7066","0.0000","316.9806","37.2000","0.2300","10000.0000","40.84904208","-80.34639924"
"0.400","0.1138","14","0.0000","0.0000","-22.6240","-176.7066","0.0000","316.9806","37.2000","0.2300","10000.0000","40.84904208","-80.34639924"
"0.450","0.1138","14","0.0000","0.0000","-22.6240","-176.7066","0.0000","316.9806","37.2000","0.2300","10000.0000","40.84904208","-80.34639924"
"0.500","0.1138","14","0.0000","0.0000","-22.6240","-176.7066","0.0000","316.9806","37.2000","0.2300","10000.0000","40.84904208","-80.34639924"
"0.550","0.0988","14","0.0000","0.0000","-24.3900","-126.1706","0.0000","316.9925","37.1550","0.2345","10000.0000","40.84904204","-80.34639937"
"0.600","0.0822","14","0.0000","0.0000","-26.3522","-70.0194","0.0000","317.0056","37.1050","0.2395","10000.0000","40.84904200","-80.34639951"
"0.650","0.1130","14","0.0000","0.0000","-18.2543","-64.2309","0.0000","317.0228","37.0100","0.2490","10000.0000","40.84904192","-80.34639962"
"0.700","0.1491","14","0.0000","0.0000","-9.0386","-64.0384","0.0000","317.0403","36.9100","0.2590","10000.0000","40.84904185","-80.34639972"
"0.750","0.1712","14","0.0000","0.0000","-8.0393","32.5378","0.0000","317.0468","36.8550","0.2645","10000.0000","40.84904169","-80.34639970"
"0.800","0.1918","14","0.0000","0.0000","-7.9528","139.8232","0.0000","317.0521","36.8050","0.2695","10000.0000","40.84904153","-80.34639967"
"0.850","0.2257","14","0.0000","0.0000","-5.5118","52.8712","0.0000","317.0698","36.7550","0.2700","10000.0000","40.84904155","-80.34639985"
