"Format","AiM CSV File"
"Session","PittRace"
"Vehicle","GG25"
"Racer","Jacob - James - Kobe"
"Championship","Pittsburgh"
"Comment",""
"Date","Saturday, August 2, 2025"
"Time","9:32 AM"
"Sample Rate","20"
"Duration","58"
"Segment","Session"
"Beacon Markers","58"
"Segment Times","0:58.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","0.3759","12","0.0000","0.0000","13.4141","170.8444","0.0000","325.4420","32.9000","0.2900","10000.0000","40.84862480","-80.34576843"
"0.050","0.3759","12","0.0000","0.0000","13.4141","170.8444","0.0000","325.4420","32.9000","0.2900","10000.0000","40.84862480","-80.34576843"
"0.100","0.3759","12","0.0000","0.0000","13.4141","170.8444","0.0000","325.4420","32.9000","0.2900","10000.0000","40.84862480","-80.34576843"
"0.150","0.3759","12","0.0000","0.0000","13.4141","170.8444","0.0000","325.4420","32.9000","0.2900","10000.0000","40.84862480","-80.34576843"
"0.200","0.3759","12","0.0000","0.0000","13.4141","170.8444","0.0000","325.4420","32.9000","0.2900","10000.0000","40.84862480","-80.34576843"
"0.250","0.3853","12","0.0000","0.0000","12.7132","169.0634","0.0000","325.4409","32.8800","0.2920","10000.0000","40.84862474","-80.34576846"
"0.300","0.4088","12","0.0000","0.0000","10.9610","164.6110","0.0000","325.4379","32.8300","0.2970","10000.0000","40.84862459","-80.34576853"
"0.350","0.4217","12","0.0000","0.0000","8.7043","159.4137","0.0000","325.4337","32.7800","0.3000","10000.0000","40.84862446","-80.34576856"
"0.400","0.4186","12","0.0000","0.0000","5.6910","153.0989","0.0000","325.4278","32.7300","0.3000","10000.0000","40.84862439","-80.34576850"
"0.450","0.4640","12","0.0000","0.0000","3.2918","148.3815","0.0000","325.4210","32.7000","0.3000","10000.0000","40.84862428","-80.34576842"
"0.500","0.5821","12","0.0000","0.0000","1.8137","146.0602","0.0000","325.4129","32.7000","0.3000","10000.0000","40.84862410","-80.34576832"
"0.550","0.5962","12","0.0000","0.0000","-0.3746","148.1890","0.0000","325.4050","32.6800","0.3020","10000.0000","40.84862397","-80.34576830"
"0.600","0.4541","12","0.0000","0.0000","-3.6282","156.9929","0.0000","325.3972","32.6300","0.3070","10000.0000","40.84862391","-80.34576841"
"0.650","0.4634","12","0.0000","0.0000","-4.7649","160.2174","0.0000","325.3950","32.6000","0.3100","10000.0000","40.84862379","-80.34576845"
"0.700","0.6995","12","0.0000","0.0000","-2.7262","155.0729","0.0000","325.4014","32.6000","0.3100","10000.0000","40.84862356","-80.34576838"
"0.750","0.7790","11","0.0000","0.0000","-1.9220","151.1194","0.0000","325.4095","32.5800","0.3100","10000.0000","40.84862341","-80.34576834"
"0.800","0.6236","11","0.0000","0.0000","-2.9698","148.9525","0.0000","325.4202","32.5300","0.3100","10000.0000","40.84862339","-80.34576836"
"0.850","0.5243","11","0.0000","0.0000","-4.5002","149.9397","0.0000","325.4214","32.4800","0.3100","10000.0000","40.84862332","-80.34576837"
