"Format","AiM CSV File"
"Session","PittRace"
"Vehicle","GG25"
"Racer","Jacob - James - Kobe"
"Championship","Pittsburgh"
"Comment",""
"Date","Saturday, August 2, 2025"
"Time","12:14 PM"
"Sample Rate","20"
"Duration","25"
"Segment","Session"
"Beacon Markers","25"
"Segment Times","0:25.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","0.2812","15","0.0000","0.0000","-29.4503","60.7767","0.0000","333.9382","59.1000","0.2600","10000.0000","40.84886053","-80.34557713"
"0.050","0.2812","15","0.0000","0.0000","-29.4503","60.7767","0.0000","333.9382","59.1000","0.2600","10000.0000","40.84886053","-80.34557713"
"0.100","0.2812","15","0.0000","0.0000","-29.4503","60.7767","0.0000","333.9382","59.1000","0.2600","10000.0000","40.84886053","-80.34557713"
"0.150","0.2812","15","0.0000","0.0000","-29.4503","60.7767","0.0000","333.9382","59.1000","0.2600","10000.0000","40.84886053","-80.34557713"
"0.200","0.2812","15","0.0000","0.0000","-29.4503","60.7767","0.0000","333.9382","59.1000","0.2600","10000.0000","40.84886053","-80.34557713"
"0.250","0.2812","15","0.0000","0.0000","-29.4503","60.7767","0.0000","333.9382","59.1000","0.2600","10000.0000","40.84886053","-80.34557713"
"0.300","0.2812","15","0.0000","0.0000","-29.4503","60.7767","0.0000","333.9382","59.1000","0.2600","10000.0000","40.84886053","-80.34557713"
"0.350","0.2812","15","0.0000","0.0000","-29.4503","60.7767","0.0000","333.9382","59.1000","0.2600","10000.0000","40.84886053","-80.34557713"
"0.400","0.2812","15","0.0000","0.0000","-29.4503","60.7767","0.0000","333.9382","59.1000","0.2600","10000.0000","40.84886053","-80.34557713"
"0.450","0.3046","15","0.0000","0.0000","-30.9037","46.9174","0.0000","333.9059","58.8200","0.2640","10000.0000","40.84886007","-80.34557734"
"0.500","0.3338","15","0.0000","0.0000","-32.7204","29.5933","0.0000","333.8655","58.4700","0.2690","10000.0000","40.84885949","-80.34557760"
"0.550","0.3096","15","0.0000","0.0000","-44.0855","30.3818","0.0000","333.8224","58.1200","0.2460","10000.0000","40.84885888","-80.34557787"
"0.600","0.2721","15","0.0000","0.0000","-57.8378","35.6984","0.0000","333.7788","57.7700","0.2160","10000.0000","40.84885827","-80.34557813"
"0.650","0.3669","15","0.0000","0.0000","-49.0860","38.5492","0.0000","333.7389","57.4600","0.2220","10000.0000","40.84885773","-80.34557825"
"0.700","0.4949","15","0.0000","0.0000","-34.7083","40.7835","0.0000","333.6999","57.1600","0.2370","10000.0000","40.84885720","-80.34557833"
"0.750","0.5519","15","0.0000","0.0000","-30.2917","38.7387","0.0000","333.6682","56.8600","0.2440","10000.0000","40.84885671","-80.34557851"
"0.800","0.5913","15","0.0000","0.0000","-28.3654","35.6240","0.0000","333.6382","56.5600","0.2490","10000.0000","40.84885622","-80.34557871"
"0.850","0.5564","15","0.0000","0.0000","-29.7964","31.5846","0.0000","333.6112","56.3000","0.2460","10000.0000","40.84885572","-80.34557892"
