"Format","AiM CSV File"
"Session","45.392°N, 75.696°W"
"Vehicle","GG25"
"Racer","Faran"
"Championship","P7"
"Comment","arb 90 degrees 
times:
"
"Date","Saturday, August 16, 2025"
"Time","5:43 PM"
"Sample Rate","20"
"Duration","142"
"Segment","Session"
"Beacon Markers","142"
"Segment Times","2:22.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","0.2718","12","0.0000","0.0000","-9.7409","-102.0467","0.0000","28.6475","47.9000","0.2100","10000.0000","45.39185797","-75.69644395"
"0.050","0.2718","12","0.0000","0.0000","-9.7409","-102.0467","0.0000","28.6475","47.9000","0.2100","10000.0000","45.39185797","-75.69644395"
"0.100","0.2718","12","0.0000","0.0000","-9.7409","-102.0467","0.0000","28.6475","47.9000","0.2100","10000.0000","45.39185797","-75.69644395"
"0.150","0.2718","12","0.0000","0.0000","-9.7409","-102.0467","0.0000","28.6475","47.9000","0.2100","10000.0000","45.39185797","-75.69644395"
"0.200","0.2718","12","0.0000","0.0000","-9.7409","-102.0467","0.0000","28.6475","47.9000","0.2100","10000.0000","45.39185797","-75.69644395"
"0.250","0.2718","12","0.0000","0.0000","-9.7409","-102.0467","0.0000","28.6475","47.9000","0.2100","10000.0000","45.39185797","-75.69644395"
"0.300","0.2718","12","0.0000","0.0000","-9.7409","-102.0467","0.0000","28.6475","47.9000","0.2100","10000.0000","45.39185797","-75.69644395"
"0.350","0.2456","12","0.0000","0.0000","-16.7852","-94.4421","0.0000","28.6442","47.7880","0.2020","10000.0000","45.39185798","-75.69644394"
"0.400","0.1637","12","0.0000","0.0000","-38.7988","-70.6776","0.0000","28.6339","47.4380","0.1770","10000.0000","45.39185801","-75.69644391"
"0.450","0.1089","12","0.0000","0.0000","-55.2366","-18.5775","0.0000","28.6238","47.0880","0.1584","10000.0000","45.39185804","-75.69644386"
"0.500","0.1119","12","0.0000","0.0000","-59.8257","93.7359","0.0000","28.6143","46.7380","0.1534","10000.0000","45.39185806","-75.69644377"
"0.550","0.1085","12","0.0000","0.0000","-63.7510","148.6685","0.0000","28.6079","46.4040","0.1516","10000.0000","45.39185810","-75.69644370"
"0.600","0.0918","12","0.0000","0.0000","-66.2659","81.6671","0.0000","28.6080","46.1040","0.1566","10000.0000","45.39185816","-75.69644368"
"0.650","0.1007","12","0.0000","0.0000","-61.3086","6.0383","0.0000","28.6061","45.8200","0.1648","10000.0000","45.39185818","-75.69644365"
"0.700","0.1639","12","0.0000","0.0000","-40.4728","-87.9235","0.0000","28.5999","45.5700","0.1798","10000.0000","45.39185811","-75.69644359"
"0.750","0.2031","12","0.0000","0.0000","-28.9020","-136.5749","0.0000","28.5926","45.3040","0.1852","10000.0000","45.39185809","-75.69644351"
"0.800","0.1915","12","0.0000","0.0000","-37.0190","-88.9417","0.0000","28.5833","45.0040","0.1702","10000.0000","45.39185817","-75.69644340"
"0.850","0.1928","12","0.0000","0.0000","-40.2549","-63.5431","0.0000","28.5745","44.7200","0.1648","10000.0000","45.39185825","-75.69644334"
"0.900","0.2218","12","0.0000","0.0000","-33.1187","-85.3930","0.0000","28.5668","44.4700","0.1798","10000.0000","45.39185832","-75.69644337"
"0.950","0.2344","12","0.0000","0.0000","-29.0009","-98.2823","0.0000","28.5603","44.2040","0.1884","10000.0000","45.39185840","-75.69644340"
"1.000","0.2122","12","0.0000","0.0000","-31.2977","-92.1306","0.0000","28.5562","43.9040","0.1834","10000.0000","45.39185851","-75.69644343"
"1.050","0.1987","12","0.0000","0.0000","-32.0948","-79.4332","0.0000","28.5540","43.6200","0.1816","10000.0000","45.39185861","-75.69644348"
"1.100","0.2035","12","0.0000","0.0000","-29.7052","-52.8263","0.0000","28.5560","43.3700","0.1866","10000.0000","45.39185872","-75.69644359"
"1.150","0.1968","12","0.0000","0.0000","-30.8501","-0.3762","0.0000","28.5576","43.1360","0.1852","10000.0000","45.39185879","-75.69644373"
