"Format","AiM CSV File"
"Session","45.392°N, 75.696°W"
"Vehicle","GG25"
"Racer","Ben"
"Championship","P7"
"Comment","6 cones 30 ft per
45 degrees arb
times:
7.26
7.05 (1 cone)
6.15
6.28 (1 cone)"
"Date","Saturday, August 16, 2025"
"Time","3:30 PM"
"Sample Rate","20"
"Duration","111"
"Segment","Session"
"Beacon Markers","111"
"Segment Times","1:51.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","0.1610","12","0.0000","0.0000","-16.8740","13.3512","0.0000","29.1216","22.7000","0.2100","10000.0000","45.39130809","-75.69626501"
"0.050","0.1610","12","0.0000","0.0000","-16.8740","13.3512","0.0000","29.1216","22.7000","0.2100","10000.0000","45.39130809","-75.69626501"
"0.100","0.1610","12","0.0000","0.0000","-16.8740","13.3512","0.0000","29.1216","22.7000","0.2100","10000.0000","45.39130809","-75.69626501"
"0.150","0.1610","12","0.0000","0.0000","-16.8740","13.3512","0.0000","29.1216","22.7000","0.2100","10000.0000","45.39130809","-75.69626501"
"0.200","0.1610","12","0.0000","0.0000","-16.8740","13.3512","0.0000","29.1216","22.7000","0.2100","10000.0000","45.39130809","-75.69626501"
"0.250","0.1610","12","0.0000","0.0000","-16.8740","13.3512","0.0000","29.1216","22.7000","0.2100","10000.0000","45.39130809","-75.69626501"
"0.300","0.1610","12","0.0000","0.0000","-16.8740","13.3512","0.0000","29.1216","22.7000","0.2100","10000.0000","45.39130809","-75.69626501"
"0.350","0.1610","12","0.0000","0.0000","-16.8740","13.3512","0.0000","29.1216","22.7000","0.2100","10000.0000","45.39130809","-75.69626501"
"0.400","0.1610","12","0.0000","0.0000","-16.8740","13.3512","0.0000","29.1216","22.7000","0.2100","10000.0000","45.39130809","-75.69626501"
"0.450","0.1610","12","0.0000","0.0000","-16.8740","13.3512","0.0000","29.1216","22.7000","0.2100","10000.0000","45.39130809","-75.69626501"
"0.500","0.1366","12","0.0000","0.0000","-18.0320","-6.9030","0.0000","29.1144","22.7000","0.2008","10000.0000","45.39130810","-75.69626505"
"0.550","0.1101","12","0.0000","0.0000","-19.2907","-28.9185","0.0000","29.1066","22.7000","0.1908","10000.0000","45.39130811","-75.69626509"
"0.600","0.2145","12","0.0000","0.0000","-12.8181","-17.1521","0.0000","29.1093","22.7000","0.1992","10000.0000","45.39130814","-75.69626510"
"0.650","0.3304","12","0.0000","0.0000","-5.6732","-2.4483","0.0000","29.1128","22.7000","0.2092","10000.0000","45.39130817","-75.69626510"
"0.700","0.3685","12","0.0000","0.0000","-4.7448","19.7050","0.0000","29.1012","22.7000","0.2284","10000.0000","45.39130822","-75.69626500"
"0.750","0.4000","12","0.0000","0.0000","-4.3568","42.5061","0.0000","29.0883","22.7000","0.2484","10000.0000","45.39130827","-75.69626489"
"0.800","0.2579","12","0.0000","0.0000","-13.9573","69.6910","0.0000","29.0768","22.6540","0.2224","10000.0000","45.39130826","-75.69626492"
"0.850","0.1008","12","0.0000","0.0000","-24.4263","97.2571","0.0000","29.0654","22.6040","0.1924","10000.0000","45.39130823","-75.69626497"
"0.900","0.1179","12","0.0000","0.0000","-23.3061","84.5705","0.0000","29.0614","22.6000","0.2130","10000.0000","45.39130826","-75.69626496"
"0.950","0.1502","12","0.0000","0.0000","-21.1781","68.3837","0.0000","29.0580","22.6000","0.2380","10000.0000","45.39130829","-75.69626494"
"1.000","0.2170","12","0.0000","0.0000","-18.1992","38.7847","0.0000","29.0450","22.6000","0.2308","10000.0000","45.39130835","-75.69626490"
"1.050","0.2869","12","0.0000","0.0000","-15.1463","8.0195","0.0000","29.0313","22.6000","0.2208","10000.0000","45.39130841","-75.69626485"
"1.100","0.2873","12","0.0000","0.0000","-10.4625","18.8063","0.0000","29.0343","22.6000","0.2338","10000.0000","45.39130844","-75.69626479"
