"Format","AiM CSV File"
"Session","45.392°N, 75.696°W"
"Vehicle","GG25"
"Racer","Ben"
"Championship","P7"
"Comment","6 cones 30ft per
90 degree arb
(low fuel runs) {
6.90
6.38
6.98
}
6.78
6.38
6.86"
"Date","Saturday, August 16, 2025"
"Time","2:22 PM"
"Sample Rate","20"
"Duration","55"
"Segment","Session"
"Beacon Markers","55"
"Segment Times","0:55.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","0.2925","12","0.0000","0.0000","35.7414","-18.9984","0.0000","33.7435","27.6000","0.2500","10000.0000","45.39173026","-75.69674997"
"0.050","0.2925","12","0.0000","0.0000","35.7414","-18.9984","0.0000","33.7435","27.6000","0.2500","10000.0000","45.39173026","-75.69674997"
"0.100","0.2925","12","0.0000","0.0000","35.7414","-18.9984","0.0000","33.7435","27.6000","0.2500","10000.0000","45.39173026","-75.69674997"
"0.150","0.2925","12","0.0000","0.0000","35.7414","-18.9984","0.0000","33.7435","27.6000","0.2500","10000.0000","45.39173026","-75.69674997"
"0.200","0.2925","12","0.0000","0.0000","35.7414","-18.9984","0.0000","33.7435","27.6000","0.2500","10000.0000","45.39173026","-75.69674997"
"0.250","0.2925","12","0.0000","0.0000","35.7414","-18.9984","0.0000","33.7435","27.6000","0.2500","10000.0000","45.39173026","-75.69674997"
"0.300","0.2925","12","0.0000","0.0000","35.7414","-18.9984","0.0000","33.7435","27.6000","0.2500","10000.0000","45.39173026","-75.69674997"
"0.350","0.2925","12","0.0000","0.0000","35.7414","-18.9984","0.0000","33.7435","27.6000","0.2500","10000.0000","45.39173026","-75.69674997"
"0.400","0.2925","12","0.0000","0.0000","35.7414","-18.9984","0.0000","33.7435","27.6000","0.2500","10000.0000","45.39173026","-75.69674997"
"0.450","0.2603","12","0.0000","0.0000","43.8990","-42.0089","0.0000","33.7482","27.6000","0.2344","10000.0000","45.39173026","-75.69675003"
"0.500","0.2190","12","0.0000","0.0000","54.3575","-71.5097","0.0000","33.7543","27.6000","0.2144","10000.0000","45.39173027","-75.69675011"
"0.550","0.1968","12","0.0000","0.0000","61.2464","-97.0059","0.0000","33.7494","27.6000","0.1944","10000.0000","45.39173023","-75.69675017"
"0.600","0.1801","12","0.0000","0.0000","67.1285","-121.3726","0.0000","33.7415","27.6000","0.1744","10000.0000","45.39173018","-75.69675023"
"0.650","0.1805","12","0.0000","0.0000","64.4148","-141.5544","0.0000","33.7471","27.6000","0.1778","10000.0000","45.39173015","-75.69675032"
"0.700","0.1859","12","0.0000","0.0000","59.2767","-160.5558","0.0000","33.7566","27.6000","0.1878","10000.0000","45.39173012","-75.69675041"
"0.750","0.2134","12","0.0000","0.0000","50.0878","-169.7049","0.0000","33.7783","27.6390","0.2056","10000.0000","45.39173009","-75.69675043"
"0.800","0.2471","12","0.0000","0.0000","39.7564","-176.0750","0.0000","33.8035","27.6890","0.2256","10000.0000","45.39173005","-75.69675044"
"0.850","0.2395","12","0.0000","0.0000","36.8496","-63.0148","0.0000","33.8063","27.7000","0.2261","10000.0000","45.39173007","-75.69675042"
"0.900","0.2202","12","0.0000","0.0000","36.0369","83.7309","0.0000","33.8029","27.7000","0.2211","10000.0000","45.39173010","-75.69675041"
"0.950","0.2320","12","0.0000","0.0000","32.8641","119.9127","0.0000","33.8157","27.7000","0.2317","10000.0000","45.39173008","-75.69675044"
"1.000","0.2526","12","0.0000","0.0000","29.0257","124.9099","0.0000","33.8330","27.7000","0.2467","10000.0000","45.39173005","-75.69675049"
"1.050","0.2147","12","0.0000","0.0000","34.5875","77.0120","0.0000","33.8335","27.7000","0.2383","10000.0000","45.39173008","-75.69675054"
"1.100","0.1604","12","0.0000","0.0000","42.8008","14.1950","0.0000","33.8293","27.7000","0.2233","10000.0000","45.39173012","-75.69675058"
"1.150","0.1467","12","0.0000","0.0000","44.9135","70.4289","0.0000","33.8336","27.7000","0.2161","10000.0000","45.39173008","-75.69675062"
"1.200","0.1445","12","0.0000","0.0000","45.3054","160.2413","0.0000","33.8404","27.7000","0.2111","10000.0000","45.39173001","-75.69675065"
"1.250","0.1474","12","0.0000","0.0000","42.8061","63.5806","0.0000","33.8414","27.7390","0.2022","10000.0000","45.39173006","-75.69675069"
"1.300","0.1518","12","0.0000","0.0000","39.4913","-85.6750","0.0000","33.8407","27.7890","0.1922","10000.0000","45.39173013","-75.69675074"
"1.350","0.1511","12","0.0000","0.0000","42.8092","-39.7929","0.0000","33.8459","27.8000","0.1861","10000.0000","45.39173014","-75.69675076"
"1.400","0.1489","12","0.0000","0.0000","47.9978","61.1280","0.0000","33.8529","27.8000","0.1811","10000.0000","45.39173014","-75.69675077"
"1.450","0.1700","12","0.0000","0.0000","44.4622","35.2999","0.0000","33.8504","27.8000","0.2112","10000.0000","45.39173018","-75.69675086"
"1.500","0.1976","12","0.0000","0.0000","38.4659","-26.2778","0.0000","33.8453","27.8000","0.2512","10000.0000","45.39173023","-75.69675097"
"1.550","0.2073","12","0.0000","0.0000","31.1614","-43.1458","0.0000","33.8524","27.8390","0.2639","10000.0000","45.39173026","-75.69675101"
"1.600","0.2120","12","0.0000","0.0000","23.4880","-47.4033","0.0000","33.8629","27.8890","0.2689","10000.0000","45.39173029","-75.69675102"
"1.650","0.2055","12","0.0000","0.0000","22.8313","-53.8858","0.0000","33.8619","27.9000","0.2622","10000.0000","45.39173033","-75.69675106"
"1.700","0.1960","12","0.0000","0.0000","24.1538","-60.9959","0.0000","33.8576","27.9000","0.2522","10000.0000","45.39173037","-75.69675111"
"1.750","0.1183","12","0.0000","0.0000","14.9113","-38.1616","0.0000","33.8567","27.9000","0.2539","10000.0000","45.39173038","-75.69675112"
"1.800","0.0213","12","0.0000","0.0000","2.6889","-6.8816","0.0000","33.8567","27.9000","0.2589","10000.0000","45.39173038","-75.69675112"
"1.850","0.0000","12","0.0000","0.0000","0.0000","0.0000","0.0000","33.8567","27.9390","0.2639","10000.0000","45.39173038","-75.69675112"
"1.900","0.0000","12","0.0000","0.0000","0.0000","0.0000","0.0000","33.8567","27.9890","0.2689","10000.0000","45.39173038","-75.69675112"
"1.950","0.1132","11","0.0000","0.0000","4.5582","47.1041","0.0000","33.8697","30.3400","0.2661","10000.0000","45.39173046","-75.69675118"
"2.000","0.2583","11","0.0000","0.0000","10.4020","107.4939","0.0000","33.8865","33.3400","0.2611","10000.0000","45.39173056","-75.69675126"
"2.050","0.2773","11","0.0000","0.0000","13.5102","127.4389","0.0000","33.8984","33.8830","0.2639","10000.0000","45.39173061","-75.69675129"
"2.100","0.2607","11","0.0000","0.0000","15.8469","135.9764","0.0000","33.9089","33.7330","0.2689","10000.0000","45.39173064","-75.69675130"
"2.150","0.1965","11","0.0000","0.0000","25.0973","37.8720","0.0000","33.9175","33.5830","0.2388","10000.0000","45.39173074","-75.69675145"
"2.200","0.1189","11","0.0000","0.0000","36.2979","-90.3110","0.0000","33.9256","33.4330","0.1988","10000.0000","45.39173086","-75.69675164"
"2.250","0.1127","11","0.0000","0.0000","35.9122","-92.4447","0.0000","33.9370","33.3220","0.2134","10000.0000","45.39173095","-75.69675178"
"2.300","0.1267","11","0.0000","0.0000","32.2585","-59.0261","0.0000","33.9494","33.2220","0.2434","10000.0000","45.39173103","-75.69675192"
"2.350","0.1257","11","0.0000","0.0000","29.6971","-33.2448","0.0000","33.9623","33.1220","0.2539","10000.0000","45.39173105","-75.69675203"
"2.400","0.1205","11","0.0000","0.0000","27.4438","-9.6176","0.0000","33.9753","33.0220","0.2589","10000.0000","45.39173106","-75.69675212"
"2.450","0.1721","11","0.0000","0.0000","22.6039","-36.0570","0.0000","33.9864","32.9220","0.2522","10000.0000","45.39173109","-75.69675236"
"2.500","0.2397","11","0.0000","0.0000","17.0345","-76.6177","0.0000","33.9968","32.8220","0.2422","10000.0000","45.39173112","-75.69675264"
"2.550","0.1950","11","0.0000","0.0000","24.1308","-67.7118","0.0000","34.0058","32.7220","0.2478","10000.0000","45.39173112","-75.69675282"
"2.600","0.1186","11","0.0000","0.0000","34.7996","-44.8536","0.0000","34.0145","32.6220","0.2578","10000.0000","45.39173110","-75.69675298"
"2.650","0.0935","11","0.0000","0.0000","35.1695","-4.5775","0.0000","34.0204","32.5610","0.2327","10000.0000","45.39173111","-75.69675312"
"2.700","0.0828","11","0.0000","0.0000","32.6345","40.6115","0.0000","34.0257","32.5110","0.1977","10000.0000","45.39173113","-75.69675326"
"2.750","0.1016","11","0.0000","0.0000","29.3337","74.3217","0.0000","34.0309","32.4220","0.2056","10000.0000","45.39173115","-75.69675340"
"2.800","0.1287","11","0.0000","0.0000","25.8168","104.7944","0.0000","34.0361","32.3220","0.2256","10000.0000","45.39173116","-75.69675354"
"2.850","0.1578","11","0.0000","0.0000","16.2691","80.8650","0.0000","34.0448","32.2610","0.2222","10000.0000","45.39173120","-75.69675363"
"2.900","0.1874","11","0.0000","0.0000","5.0204","41.5913","0.0000","34.0545","32.2110","0.2122","10000.0000","45.39173124","-75.69675371"
"2.950","0.1939","12","0.0000","0.0000","3.4607","85.2736","0.0000","34.0551","32.1220","0.2373","10000.0000","45.39173121","-75.69675383"
"3.000","0.1939","12","0.0000","0.0000","4.6339","152.3536","0.0000","34.0532","32.0220","0.2723","10000.0000","45.39173116","-75.69675397"
"3.050","0.1898","12","0.0000","0.0000","9.8766","74.1873","0.0000","34.0535","31.9610","0.2683","10000.0000","45.39173120","-75.69675415"
