"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","Pimp Mobile"
"Racer","Maries Mother"
"Championship","Your mom"
"Comment","2025-06-11"
"Date","Sunday, June 1, 2025"
"Time","10:39 AM"
"Sample Rate","20"
"Duration","98"
"Segment","Session"
"Beacon Markers","98"
"Segment Times","1:38.000"

"Time","Logger Temperature","External Voltage","Front Brake Pres","Rear Brake Pres","Gear Position","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Luminosity","ECU RPM","ECU ECT","ECU IAT","ECU FUEL P","ECU MAP","ECU THROTTLE","ECU V BATT","EXHAUST LAMBDA"
"s","°C","V","bar","bar","gear","g","g","g","deg/s","deg/s","deg/s","%","rpm","°C","°C","bar","bar","%","V","lambda"

,"11.1953","11.7680","-0.1085","0.1505","0.0000","0.0255","-0.0081","-1.0107","-0.2408","0.2878","0.2595","39.1250","0.0000","39.0000","12.1000","3.1170","1.3500","2.4000","12.4000","2.5500"
,"11.1953","11.7680","-0.1085","0.1505","0.0000","0.0255","-0.0081","-1.0107","-0.2289","0.2804","0.2844","39.1250","0.0000","39.0000","12.1000","3.1170","1.3500","2.4000","12.4000","2.5500"
,"11.1953","11.7680","-0.1085","0.1505","0.0000","0.0241","-0.0091","-1.0126","-0.1989","0.2394","0.3250","39.1250","0.0000","39.0000","12.1000","3.1170","1.3500","2.4000","12.4000","2.5500"
,"11.1953","11.7680","-0.1085","0.1505","0.0000","0.0204","-0.0106","-1.0142","-0.1750","0.2127","0.3456","39.1250","0.0000","39.0000","12.1000","3.1170","1.3500","2.4000","12.4000","2.5500"
,"11.1953","11.7680","-0.1085","0.1505","0.0000","0.0202","-0.0115","-1.0080","-0.1697","0.2229","0.3406","39.1250","0.0000","39.0000","12.1000","3.1170","1.3500","2.4000","12.4000","2.5500"
,"11.1953","11.7680","-0.1085","0.1505","0.0000","0.0210","-0.0125","-1.0072","-0.1762","0.2569","0.3202","39.1250","0.0000","39.0000","12.1000","3.1170","1.3500","2.4000","12.4000","2.5500"
,"11.1953","11.7680","-0.1085","0.1505","0.0000","0.0208","-0.0110","-1.0146","-0.1875","0.2908","0.2986","39.1250","0.0000","39.0000","12.1000","3.1170","1.3500","2.4000","12.4000","2.5500"
,"11.1953","11.7680","-0.0958","0.2084","0.0000","0.0186","-0.0071","-1.0156","-0.1899","0.3020","0.2941","39.1250","0.0000","39.0000","12.1000","3.1174","1.3500","2.4000","12.4000","2.5500"
,"11.1953","11.7680","-0.0676","0.2325","0.0000","0.0239","-0.0051","-1.0166","-0.1810","0.3027","0.2970","39.1250","0.0000","39.0000","12.1000","3.1180","1.3525","1.9067","12.4480","2.5500"
,"11.1953","11.7680","-0.0783","0.2422","0.0000","0.0262","-0.0035","-1.0166","-0.1728","0.3018","0.2843","39.1250","0.0000","39.0000","12.1000","3.1175","1.3558","1.2400","12.5480","2.5500"
,"11.1953","11.7680","-0.0849","0.2818","0.0000","0.0206","-0.0008","-1.0166","-0.1729","0.2972","0.2661","39.1250","0.0000","39.0000","12.1000","3.1169","1.3565","1.1478","12.5520","2.5500"
,"11.1953","11.7680","-0.0757","0.3046","0.0000","0.0167","-0.0023","-1.0156","-0.1854","0.2874","0.2614","39.1250","0.0000","39.0000","12.1000","3.1164","1.3565","1.1933","12.4520","2.5500"
,"11.1953","11.7680","-0.0835","0.3125","0.0000","0.0154","-0.0085","-1.0156","-0.2010","0.2732","0.2832","39.1250","0.0000","39.0000","12.1000","3.1158","1.3532","1.8600","12.4480","2.5500"
,"11.1953","11.7680","-0.0824","0.2870","0.0000","0.0171","-0.0064","-1.0123","-0.2117","0.2602","0.3132","39.1250","0.0000","39.0000","12.1000","3.1153","1.3508","2.3189","12.5480","2.5500"
,"11.1953","11.7680","-0.0864","0.2863","0.0000","0.0206","-0.0063","-1.0117","-0.2142","0.2421","0.3248","39.1250","0.0000","39.0000","12.1000","3.1156","1.3503","2.3744","12.5520","2.5500"
,"11.1953","11.7680","-0.0911","0.2748","0.0000","0.0176","-0.0087","-1.0093","-0.2242","0.2380","0.3108","39.1250","0.0000","39.0000","12.1000","3.1167","1.3518","2.1000","12.4520","2.5500"
