"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","Pimp Mobile"
"Racer","Maries Mother"
"Championship","Your mom"
"Comment","2025-06-11"
"Date","Sunday, June 1, 2025"
"Time","12:24 PM"
"Sample Rate","20"
"Duration","121"
"Segment","Session"
"Beacon Markers","121"
"Segment Times","2:01.000"

"Time","Logger Temperature","External Voltage","Front Brake Pres","Rear Brake Pres","Gear Position","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Luminosity","ECU RPM","ECU ECT","ECU IAT","ECU FUEL P","ECU MAP","ECU THROTTLE","ECU V BATT","EXHAUST LAMBDA"
"s","°C","V","bar","bar","gear","g","g","g","deg/s","deg/s","deg/s","%","rpm","°C","°C","bar","bar","%","V","lambda"

,"20.0000","12.9040","-0.1288","0.2756","2.0000","-0.0195","-0.0081","-1.0059","-0.0659","0.0238","0.1605","100.0000","0.0000","58.0000","15.4000","3.1030","1.3540","26.7000","12.4000","0.6500"
,"20.0000","12.9040","-0.1288","0.2756","2.0000","-0.0195","-0.0081","-1.0059","-0.0715","0.0108","0.1484","100.0000","0.0000","58.0000","15.4000","3.1030","1.3540","26.7000","12.4000","0.6500"
,"20.0000","12.9040","-0.1288","0.2756","2.0000","-0.0195","-0.0081","-1.0059","-0.0922","-0.0004","0.1584","100.0000","0.0000","58.0000","15.4000","3.1030","1.3540","26.7000","12.4000","0.6500"
,"20.0000","12.9040","-0.1288","0.2756","2.0000","-0.0195","-0.0081","-1.0059","-0.0939","0.0061","0.1515","100.0000","0.0000","58.0000","15.4000","3.1030","1.3540","26.7000","12.4000","0.6500"
,"20.0000","12.9040","-0.1288","0.2756","2.0000","-0.0195","-0.0081","-1.0059","-0.0676","0.0270","0.1292","100.0000","0.0000","58.0000","15.4000","3.1030","1.3540","26.7000","12.4000","0.6500"
,"20.0000","12.9040","-0.1288","0.2756","2.0000","-0.0191","-0.0079","-1.0054","-0.0515","0.0472","0.1372","100.0000","0.0000","58.0000","15.4000","3.1030","1.3540","26.7000","12.4000","0.6500"
,"20.0000","12.9040","-0.1288","0.2756","2.0000","-0.0166","-0.0060","-1.0088","-0.0718","0.0562","0.1837","100.0000","0.0000","58.0000","15.4000","3.1030","1.3540","26.7000","12.4000","0.6500"
,"20.0000","12.9040","-0.1288","0.2756","2.0000","-0.0163","-0.0038","-1.0117","-0.0991","0.0658","0.2459","100.0000","0.0000","58.0000","15.4000","3.1030","1.3540","26.7000","12.4000","0.6500"
,"20.0000","12.9040","-0.1288","0.2756","2.0000","-0.0145","-0.0041","-1.0059","-0.1085","0.0707","0.2825","100.0000","0.0000","58.0000","15.4000","3.1030","1.3540","26.7000","12.4000","0.6500"
,"20.0000","12.9040","-0.1288","0.2756","2.0000","-0.0182","-0.0043","-1.0093","-0.1050","0.0558","0.2675","100.0000","0.0000","58.0000","15.4344","3.1029","1.3550","26.4933","12.4000","0.6500"
,"20.0000","12.9040","-0.1063","0.2675","2.0000","-0.0206","-0.0093","-1.0107","-0.1033","0.0309","0.2347","100.0000","0.0000","58.0000","15.4900","3.0996","1.3567","26.1600","12.4380","0.6500"
,"20.0000","12.9040","-0.0973","0.2292","2.0000","-0.0222","-0.0088","-1.0059","-0.0968","0.0229","0.2102","100.0000","0.0000","58.0000","15.5000","3.0970","1.3561","26.3278","12.4880","0.6500"
,"20.0000","12.8711","-0.0662","0.2239","2.0000","-0.0232","-0.0055","-1.0039","-0.0804","0.0400","0.1858","100.0000","0.0000","58.0000","15.4989","3.0970","1.3550","26.6111","12.4620","0.6500"
,"20.0000","12.8197","-0.0769","0.2431","2.0000","-0.0171","-0.0082","-1.0049","-0.0630","0.0738","0.1761","100.0000","0.0000","58.0000","15.4433","3.0977","1.3527","27.1667","12.4120","0.6500"
,"20.0000","12.7682","-0.1094","0.2400","2.0000","-0.0116","-0.0083","-1.0049","-0.0464","0.1088","0.1831","100.0000","0.0000","58.0000","15.4122","3.0994","1.3510","28.1011","12.4380","0.6500"
,"20.0000","12.7168","-0.1206","0.2496","2.0000","-0.0135","-0.0071","-1.0039","-0.0349","0.1167","0.1887","100.0000","0.0000","58.0000","15.4678","3.1003","1.3510","30.3789","12.4880","0.6500"
