"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","GG25"
"Racer","James"
"Championship","Michigan Endurance"
"Comment","Oh yeah"
"Date","Saturday, May 17, 2025"
"Time","9:26 AM"
"Sample Rate","20"
"Duration","92"
"Segment","Session"
"Beacon Markers","92"
"Segment Times","1:32.000"

"Time","Logger Temperature","External Voltage","Front Brake Pres","Rear Brake Pres","Gear Position","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Luminosity","ECU RPM","ECU ECT","ECU IAT","ECU FUEL P","ECU MAP","ECU THROTTLE","ECU V BATT","EXHAUST LAMBDA"
"s","°C","V","bar","bar","gear","g","g","g","deg/s","deg/s","deg/s","%","rpm","°C","°C","bar","bar","%","V","lambda"

,"21.1875","12.3200","2.2461","4.8828","0.0000","0.0093","-0.0199","-1.0049","-0.0528","0.0681","0.0954","27.4375","263.0000","61.0000","18.0000","3.0850","1.3220","45.6000","11.6000","0.8600"
,"21.1875","12.3200","2.2461","4.8828","0.0000","0.0093","-0.0199","-1.0049","-0.0368","0.0644","0.1242","27.4375","263.0000","61.0000","18.0000","3.0850","1.3220","45.6000","11.6000","0.8600"
,"21.1875","12.3200","2.2461","4.8828","0.0000","0.0093","-0.0199","-1.0049","-0.0246","0.0681","0.1537","27.4375","263.0000","61.0000","18.0000","3.0850","1.3220","45.6000","11.6000","0.8600"
,"21.1875","12.3200","2.2461","4.8828","0.0000","0.0093","-0.0199","-1.0049","-0.0073","0.0802","0.1618","27.4375","263.0000","61.0000","18.0000","3.0850","1.3220","45.6000","11.6000","0.8600"
,"21.1875","12.3200","2.2461","4.8828","0.0000","0.0093","-0.0199","-1.0049","0.0115","0.0818","0.1340","27.4375","263.0000","61.0000","18.0000","3.0850","1.3220","45.6000","11.6000","0.8600"
,"21.1875","12.3200","2.2461","4.8828","0.0000","0.0093","-0.0199","-1.0049","0.0252","0.0865","0.0937","27.4375","263.0000","61.0000","18.0000","3.0850","1.3220","45.6000","11.6000","0.8600"
,"21.1875","12.3200","2.2461","4.8828","0.0000","0.0082","-0.0202","-1.0037","0.0202","0.0973","0.0807","27.4375","263.0000","61.0000","18.0000","3.0850","1.3220","45.6000","11.6000","0.8600"
,"21.1875","12.3200","2.2461","4.8828","0.0000","-0.0107","-0.0258","-1.0009","-0.0065","0.0890","0.1158","27.4375","263.0000","61.0000","18.0000","3.0850","1.3220","45.6000","11.6000","0.8600"
,"21.1875","12.3200","2.2461","4.8828","0.0000","-0.0451","-0.0274","-1.0051","-0.0266","0.0640","0.1648","27.4375","263.0000","61.0000","18.0000","3.0850","1.3220","45.6000","11.6000","0.8600"
,"21.1875","12.3200","2.2029","4.8815","0.0000","-0.0358","-0.0268","-0.9928","-0.0371","0.0336","0.1893","27.4375","263.0000","61.2400","18.0000","3.0850","1.3220","45.6000","11.5760","0.8600"
,"21.1875","12.3200","2.1450","4.8842","0.0000","-0.0205","-0.0176","-0.9864","-0.0454","0.0024","0.1736","27.4375","288.7556","61.7400","18.0000","3.0871","1.3237","45.3044","11.5260","0.8600"
,"21.1875","12.3200","2.1900","4.8799","0.0000","-0.0232","-0.0124","-0.9979","-0.0395","-0.0178","0.1552","27.4375","322.6444","61.7600","18.0000","3.0899","1.3259","44.9156","11.5000","0.8600"
,"21.1875","12.3200","2.1804","4.8688","0.0000","-0.0079","-0.0249","-1.0144","-0.0200","-0.0130","0.1758","27.4375","295.2000","61.2600","18.0000","3.0927","1.3276","44.9533","11.5000","0.8600"
,"21.1875","12.3200","2.1816","4.8904","0.0000","0.0075","-0.0396","-1.0058","-0.0289","0.0203","0.2216","27.4375","271.4222","61.0000","18.0000","3.0953","1.3286","45.0978","11.5000","0.8600"
,"21.1875","12.3200","2.1750","4.8752","0.0000","-0.0036","-0.0454","-0.9963","-0.0635","0.0656","0.2405","27.4375","280.3111","61.0000","18.0000","3.0969","1.3258","45.7089","11.5000","0.8600"
,"21.1875","12.3200","2.1668","4.8813","0.0000","-0.0211","-0.0436","-1.0026","-0.0846","0.1105","0.2228","27.4375","277.6000","61.2400","18.0000","3.0974","1.3236","46.1800","11.5480","0.8600"
