"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","Pimp Mobile"
"Racer","Maries Mother"
"Championship","Your mom"
"Comment","2025-06-11"
"Date","Saturday, May 31, 2025"
"Time","11:56 AM"
"Sample Rate","20"
"Duration","12"
"Segment","Session"
"Beacon Markers","12"
"Segment Times","0:12.000"

"Time","Logger Temperature","External Voltage","Front Brake Pres","Rear Brake Pres","Gear Position","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Luminosity","ECU RPM","ECU ECT","ECU IAT","ECU FUEL P","ECU MAP","ECU THROTTLE","ECU V BATT","EXHAUST LAMBDA"
"s","°C","V","bar","bar","gear","g","g","g","deg/s","deg/s","deg/s","%","rpm","°C","°C","bar","bar","%","V","lambda"

,"13.0938","11.2960","0.1366","0.2152","0.0000","0.0051","-0.0212","-1.0127","-0.1121","0.2174","0.3828","3.9629","0.0000","17.0000","10.5000","3.1150","1.3040","0.0000","12.4000","1.3000"
,"13.0938","11.2960","0.1366","0.2152","0.0000","0.0051","-0.0212","-1.0127","-0.1009","0.2050","0.3794","3.9629","0.0000","17.0000","10.5000","3.1150","1.3040","0.0000","12.4000","1.3000"
,"13.0938","11.2960","0.1366","0.2152","0.0000","0.0051","-0.0212","-1.0127","-0.0965","0.2101","0.3726","3.9629","0.0000","17.0000","10.5000","3.1150","1.3040","0.0000","12.4000","1.3000"
,"13.0938","11.2960","0.1366","0.2152","0.0000","0.0051","-0.0212","-1.0127","-0.1007","0.2172","0.3972","3.9629","0.0000","17.0000","10.5000","3.1150","1.3040","0.0000","12.4000","1.3000"
,"13.0938","11.2960","0.1366","0.2152","0.0000","0.0051","-0.0212","-1.0127","-0.0980","0.2240","0.4404","3.9629","0.0000","17.0000","10.5000","3.1150","1.3040","0.0000","12.4000","1.3000"
,"13.0938","11.2960","0.1366","0.2152","0.0000","0.0051","-0.0212","-1.0127","-0.0948","0.2194","0.4620","3.9629","0.0000","17.0000","10.5000","3.1150","1.3040","0.0000","12.4000","1.3000"
,"13.0938","11.2960","0.1366","0.2152","0.0000","0.0049","-0.0240","-1.0135","-0.0999","0.1997","0.4524","3.9629","0.0000","17.0000","10.5000","3.1150","1.3040","0.0000","12.4000","1.3000"
,"13.0938","11.2960","0.1366","0.2152","0.0000","0.0011","-0.0324","-1.0127","-0.1159","0.1888","0.4318","3.9629","0.0000","17.0000","10.5000","3.1150","1.3040","0.0000","12.4000","1.3000"
,"13.0938","11.2960","0.1366","0.2152","0.0000","-0.0011","-0.0290","-1.0117","-0.1138","0.1882","0.4164","3.9629","0.0000","17.0000","10.5000","3.1150","1.3040","0.0000","12.4000","1.3000"
,"13.0938","11.2960","0.1366","0.2152","0.0000","-0.0018","-0.0225","-1.0120","-0.0915","0.1730","0.4121","3.9629","0.0000","17.0000","10.5000","3.1150","1.3040","0.0000","12.4000","1.3000"
,"13.0938","11.2960","0.1366","0.2152","0.0000","-0.0020","-0.0210","-1.0137","-0.0601","0.1583","0.4040","3.9629","0.0000","17.0000","10.4978","3.1150","1.3040","0.0000","12.4000","1.3000"
,"13.0938","11.2960","0.1476","0.2464","0.0000","-0.0029","-0.0202","-1.0127","-0.0369","0.1673","0.3932","3.9629","0.0000","17.0000","10.4422","3.1150","1.3034","0.0000","12.3610","1.3000"
,"13.0938","11.2960","0.1724","0.2548","0.0000","-0.0002","-0.0228","-1.0117","-0.0536","0.1867","0.4004","3.9629","0.0000","17.0000","10.4133","3.1150","1.3038","0.0000","12.3110","1.3000"
,"13.0938","11.2960","0.1498","0.2441","0.0000","-0.0008","-0.0250","-1.0140","-0.0951","0.2071","0.4301","3.9629","0.0000","17.3900","10.4689","3.1155","1.3071","0.0000","12.3390","1.2962"
,"13.0938","11.2960","0.1089","0.2264","0.0000","-0.0018","-0.0244","-1.0154","-0.1192","0.2336","0.4410","3.9629","0.0000","17.8900","10.5000","3.1160","1.3095","0.0000","12.3890","1.2912"
,"13.0938","11.2960","0.1087","0.2000","0.0000","-0.0046","-0.0220","-1.0156","-0.1192","0.2522","0.4168","3.9629","0.0000","17.6100","10.5000","3.1154","1.3106","0.0000","12.3610","1.2862"
