"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","Pimp Mobile"
"Racer","Maries Mother"
"Championship","Your mom"
"Comment","2025-06-11"
"Date","Saturday, May 31, 2025"
"Time","2:23 PM"
"Sample Rate","20"
"Duration","108"
"Segment","Session"
"Beacon Markers","108"
"Segment Times","1:48.000"

"Time","Logger Temperature","External Voltage","Front Brake Pres","Rear Brake Pres","Gear Position","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Luminosity","ECU RPM","ECU ECT","ECU IAT","ECU FUEL P","ECU MAP","ECU THROTTLE","ECU V BATT","EXHAUST LAMBDA"
"s","°C","V","bar","bar","gear","g","g","g","deg/s","deg/s","deg/s","%","rpm","°C","°C","bar","bar","%","V","lambda"

,"11.3984","12.7600","0.5732","0.5645","0.0000","0.0112","0.0114","-1.0098","-0.1840","0.2037","0.2354","44.0938","0.0000","33.0000","11.2000","3.1100","1.3440","0.0000","12.4000","1.1000"
,"11.3984","12.7600","0.5732","0.5645","0.0000","0.0112","0.0114","-1.0098","-0.1867","0.2579","0.2108","44.0938","0.0000","33.0000","11.2000","3.1100","1.3440","0.0000","12.4000","1.1000"
,"11.3984","12.7600","0.5732","0.5645","0.0000","0.0112","0.0114","-1.0098","-0.1996","0.2866","0.1886","44.0938","0.0000","33.0000","11.2000","3.1100","1.3440","0.0000","12.4000","1.1000"
,"11.3984","12.7600","0.5732","0.5645","0.0000","0.0112","0.0114","-1.0098","-0.2080","0.2666","0.1857","44.0938","0.0000","33.0000","11.2000","3.1100","1.3440","0.0000","12.4000","1.1000"
,"11.3984","12.7600","0.5732","0.5645","0.0000","0.0112","0.0114","-1.0098","-0.2112","0.2443","0.2025","44.0938","0.0000","33.0000","11.2000","3.1100","1.3440","0.0000","12.4000","1.1000"
,"11.3984","12.7600","0.5732","0.5645","0.0000","0.0112","0.0114","-1.0098","-0.2094","0.2446","0.2133","44.0938","0.0000","33.0000","11.2000","3.1100","1.3440","0.0000","12.4000","1.1000"
,"11.3984","12.7600","0.5732","0.5645","0.0000","0.0117","0.0123","-1.0098","-0.2014","0.2517","0.2188","44.0938","0.0000","33.0000","11.2000","3.1100","1.3440","0.0000","12.4000","1.1000"
,"11.3984","12.7600","0.5732","0.5645","0.0000","0.0103","0.0139","-1.0146","-0.1836","0.2589","0.2346","44.0938","0.0000","33.0000","11.2000","3.1100","1.3440","0.0000","12.4000","1.1000"
,"11.3984","12.7600","0.5732","0.5645","0.0000","0.0059","0.0109","-1.0176","-0.1771","0.2666","0.2738","44.0938","0.0000","33.0000","11.2000","3.1100","1.3440","0.0000","12.4000","1.1000"
,"11.3984","12.7600","0.5732","0.5645","0.0000","0.0064","0.0071","-1.0171","-0.1852","0.2789","0.3083","44.0938","0.0000","33.0000","11.2000","3.1100","1.3440","0.0000","12.4000","1.1000"
,"11.3984","12.7600","0.5732","0.5645","0.0000","0.0094","0.0057","-1.0166","-0.1996","0.2902","0.3146","44.0938","0.0000","33.0000","11.2000","3.1100","1.3440","0.0000","12.4000","1.1000"
,"11.3984","12.7600","0.5904","0.5621","0.0000","0.0078","0.0016","-1.0161","-0.2118","0.2972","0.3055","44.0938","0.0000","32.6300","11.2000","3.1104","1.3429","0.0000","12.3260","1.1000"
,"11.3984","12.7600","0.5937","0.5448","0.0000","0.0088","0.0016","-1.0127","-0.2203","0.3062","0.2951","44.0938","0.0000","32.1300","11.2000","3.1116","1.3424","0.0000","12.2260","1.1000"
,"11.3984","12.7600","0.6032","0.5258","0.0000","0.0072","0.0035","-1.0122","-0.2239","0.3029","0.2949","44.0938","0.0000","32.3700","11.2000","3.1123","1.3447","0.0000","12.2370","1.1000"
,"11.3984","12.7600","0.6187","0.5447","0.0000","0.0050","0.0066","-1.0098","-0.2133","0.2883","0.2939","44.0938","0.0000","32.8700","11.2000","3.1129","1.3467","0.0000","12.2870","1.1000"
,"11.3984","12.7600","0.6139","0.5693","0.0000","0.0041","0.0101","-1.0112","-0.1928","0.2774","0.2906","44.0938","0.0000","32.6300","11.2000","3.1134","1.3483","0.0000","12.2630","1.1000"
