"Format","AiM CSV File"
"Session","GamebridgeK"
"Vehicle","GGR25"
"Racer","Faran_Kobe_James"
"Championship","TO Shootout"
"Comment",""
"Date","Saturday, October 4, 2025"
"Time","10:43 AM"
"Sample Rate","20"
"Duration","185.997"
"Segment","Session"
"Beacon Markers","49.74","94.551","139.283","185.997"
"Segment Times","0:49.740","0:44.811","0:44.732","0:46.714"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","7.2153","3","0.0000","0.0000","0.0687","-2.5311","0.0000","184.8499","200.0000","7.4200","10000.0000","44.49300464","-79.18091547"
"0.050","7.2153","3","0.0000","0.0000","0.0687","-2.5311","0.0000","184.8499","200.0000","7.4200","10000.0000","44.49300464","-79.18091547"
"0.100","7.2153","3","0.0000","0.0000","0.0687","-2.5311","0.0000","184.8499","200.0000","7.4200","10000.0000","44.49300464","-79.18091547"
"0.150","7.2153","3","0.0000","0.0000","0.0687","-2.5311","0.0000","184.8499","200.0000","7.4200","10000.0000","44.49300464","-79.18091547"
"0.200","7.2153","3","0.0000","0.0000","0.0687","-2.5311","0.0000","184.8499","200.0000","7.4200","10000.0000","44.49300464","-79.18091547"
"0.250","7.2153","3","0.0000","0.0000","0.0687","-2.5311","0.0000","184.8499","200.0000","7.4200","10000.0000","44.49300464","-79.18091547"
"0.300","7.2153","3","0.0000","0.0000","0.0687","-2.5311","0.0000","184.8499","200.0000","7.4200","10000.0000","44.49300464","-79.18091547"
"0.350","7.2153","3","0.0000","0.0000","0.0687","-2.5311","0.0000","184.8499","200.0000","7.4200","10000.0000","44.49300464","-79.18091547"
"0.400","7.2153","3","0.0000","0.0000","0.0687","-2.5311","0.0000","184.8499","200.0000","7.4200","10000.0000","44.49300464","-79.18091547"
"0.450","7.2153","3","0.0000","0.0000","0.0687","-2.5311","0.0000","184.8499","200.0000","7.4200","10000.0000","44.49300464","-79.18091547"
"0.500","7.2153","3","0.0000","0.0000","0.0687","-2.5311","0.0000","184.8499","200.0000","7.4200","10000.0000","44.49300464","-79.18091547"
"0.550","7.2153","3","0.0000","0.0000","0.0687","-2.5311","0.0000","184.8499","200.0000","7.4200","10000.0000","44.49300464","-79.18091547"
"0.600","7.2153","3","0.0000","0.0000","0.0687","-2.5311","0.0000","184.8499","200.0000","7.4200","10000.0000","44.49300464","-79.18091547"
"0.650","7.2153","3","0.0000","0.0000","0.0687","-2.5311","0.0000","184.8499","200.0000","7.4200","10000.0000","44.49300464","-79.18091547"
"0.700","7.2153","3","0.0000","0.0000","0.0687","-2.5311","0.0000","184.8499","200.0000","7.4200","10000.0000","44.49300464","-79.18091547"
"0.750","7.2153","3","0.0000","0.0000","0.0687","-2.5311","0.0000","184.8499","200.0000","7.4200","10000.0000","44.49300464","-79.18091547"
"0.800","7.2153","3","0.0000","0.0000","0.0687","-2.5311","0.0000","184.8499","200.0000","7.4200","10000.0000","44.49300464","-79.18091547"
