"Format","AiM CSV File"
"Session","GamebridgeK"
"Vehicle","GGR25"
"Racer","Faran_Kobe_James"
"Championship","TO Shootout"
"Comment",""
"Date","Saturday, October 4, 2025"
"Time","11:22 AM"
"Sample Rate","20"
"Duration","135.998"
"Segment","Session"
"Beacon Markers","61.937","106.108","135.998"
"Segment Times","1:01.937","0:44.171","0:29.890"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","1.2434","3","0.0000","0.0000","0.5860","-76.4978","0.0000","202.9527","200.0000","13.2100","10000.0000","44.49270444","-79.18136438"
"0.050","1.2434","3","0.0000","0.0000","0.5860","-76.4978","0.0000","202.9527","200.0000","13.2100","10000.0000","44.49270444","-79.18136438"
"0.100","1.2434","3","0.0000","0.0000","0.5860","-76.4978","0.0000","202.9527","200.0000","13.2100","10000.0000","44.49270444","-79.18136438"
"0.150","1.2434","3","0.0000","0.0000","0.5860","-76.4978","0.0000","202.9527","200.0000","13.2100","10000.0000","44.49270444","-79.18136438"
"0.200","1.2434","3","0.0000","0.0000","0.5860","-76.4978","0.0000","202.9527","200.0000","13.2100","10000.0000","44.49270444","-79.18136438"
"0.250","1.2434","3","0.0000","0.0000","0.5860","-76.4978","0.0000","202.9527","200.0000","13.2100","10000.0000","44.49270444","-79.18136438"
"0.300","1.2434","3","0.0000","0.0000","0.5860","-76.4978","0.0000","202.9527","200.0000","13.2100","10000.0000","44.49270444","-79.18136438"
"0.350","1.2434","3","0.0000","0.0000","0.5860","-76.4978","0.0000","202.9527","200.0000","13.2100","10000.0000","44.49270444","-79.18136438"
"0.400","1.2434","3","0.0000","0.0000","0.5860","-76.4978","0.0000","202.9527","200.0000","13.2100","10000.0000","44.49270444","-79.18136438"
"0.450","1.2434","3","0.0000","0.0000","0.5860","-76.4978","0.0000","202.9527","200.0000","13.2100","10000.0000","44.49270444","-79.18136438"
"0.500","1.2434","3","0.0000","0.0000","0.5860","-76.4978","0.0000","202.9527","200.0000","13.2100","10000.0000","44.49270444","-79.18136438"
"0.550","1.2434","3","0.0000","0.0000","0.5860","-76.4978","0.0000","202.9527","200.0000","13.2100","10000.0000","44.49270444","-79.18136438"
"0.600","1.2434","3","0.0000","0.0000","0.5860","-76.4978","0.0000","202.9527","200.0000","13.2100","10000.0000","44.49270444","-79.18136438"
"0.650","1.2434","3","0.0000","0.0000","0.5860","-76.4978","0.0000","202.9527","200.0000","13.2100","10000.0000","44.49270444","-79.18136438"
"0.700","1.2434","3","0.0000","0.0000","0.5860","-76.4978","0.0000","202.9527","200.0000","13.2100","10000.0000","44.49270444","-79.18136438"
"0.750","1.2434","3","0.0000","0.0000","0.5860","-76.4978","0.0000","202.9527","200.0000","13.2100","10000.0000","44.49270444","-79.18136438"
"0.800","1.2434","3","0.0000","0.0000","0.5860","-76.4978","0.0000","202.9527","200.0000","13.2100","10000.0000","44.49270444","-79.18136438"
