"Format","AiM CSV File"
"Session","GamebridgeK"
"Vehicle","GGR25"
"Racer","Faran_Kobe_James"
"Championship","TO Shootout"
"Comment",""
"Date","Saturday, October 4, 2025"
"Time","11:28 AM"
"Sample Rate","20"
"Duration","251.996"
"Segment","Session"
"Beacon Markers","81","124.883","167.015","209.545","251.996"
"Segment Times","1:21.000","0:43.883","0:42.132","0:42.530","0:42.451"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","3.2568","10","0.0000","0.0000","-0.9211","152.0170","0.0000","214.6069","115.1000","0.5600","10000.0000","44.49271254","-79.18124345"
"0.050","3.2568","10","0.0000","0.0000","-0.9211","152.0170","0.0000","214.6069","115.1000","0.5600","10000.0000","44.49271254","-79.18124345"
"0.100","3.2568","10","0.0000","0.0000","-0.9211","152.0170","0.0000","214.6069","115.1000","0.5600","10000.0000","44.49271254","-79.18124345"
"0.150","3.2568","10","0.0000","0.0000","-0.9211","152.0170","0.0000","214.6069","115.1000","0.5600","10000.0000","44.49271254","-79.18124345"
"0.200","3.2568","10","0.0000","0.0000","-0.9211","152.0170","0.0000","214.6069","115.1000","0.5600","10000.0000","44.49271254","-79.18124345"
"0.250","3.2568","10","0.0000","0.0000","-0.9211","152.0170","0.0000","214.6069","115.1000","0.5600","10000.0000","44.49271254","-79.18124345"
"0.300","3.2568","10","0.0000","0.0000","-0.9211","152.0170","0.0000","214.6069","115.1000","0.5600","10000.0000","44.49271254","-79.18124345"
"0.350","3.2568","10","0.0000","0.0000","-0.9211","152.0170","0.0000","214.6069","115.1000","0.5600","10000.0000","44.49271254","-79.18124345"
"0.400","3.2530","10","0.0004","-0.0011","-0.9163","152.0418","0.0000","214.6051","115.0790","0.5600","10000.0000","44.49271254","-79.18124343"
"0.450","3.1899","10","0.0071","-0.0189","-0.8362","152.4566","0.0000","214.5756","114.7290","0.5600","10000.0000","44.49271242","-79.18124321"
"0.500","3.1327","10","0.0148","-0.0339","-0.7573","152.9656","0.0000","214.5460","114.3790","0.5600","10000.0000","44.49271229","-79.18124300"
"0.550","3.1680","10","0.0388","-0.0050","-0.6959","154.9509","0.0000","214.5158","114.0290","0.5600","10000.0000","44.49271206","-79.18124286"
"0.600","3.1946","10","0.0576","0.0197","-0.6339","156.6916","0.0000","214.4854","113.6790","0.5600","10000.0000","44.49271183","-79.18124273"
"0.650","3.0857","10","-0.0062","-0.0210","-0.5643","154.5987","0.0000","214.4517","113.3290","0.5600","10000.0000","44.49271181","-79.18124254"
"0.700","2.9803","11","-0.0625","-0.0583","-0.5017","152.7463","0.0000","214.4193","112.9820","0.5597","10000.0000","44.49271180","-79.18124236"
"0.750","2.9316","11","-0.0012","-0.0415","-0.5468","154.6612","0.0000","214.4066","112.6820","0.5547","10000.0000","44.49271178","-79.18124222"
"0.800","2.8857","11","0.0544","-0.0250","-0.5713","156.4369","0.0000","214.3940","112.3790","0.5500","10000.0000","44.49271176","-79.18124207"
