"Format","AiM CSV File"
"Session","GamebridgeK"
"Vehicle","GGR25"
"Racer","Faran_Kobe_James"
"Championship","TO Shootout"
"Comment",""
"Date","Saturday, October 4, 2025"
"Time","12:47 PM"
"Sample Rate","20"
"Duration","138.997"
"Segment","Session"
"Beacon Markers","36.998","85.383","130.677","138.997"
"Segment Times","0:36.998","0:48.385","0:45.294","0:08.320"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","2.9091","3","0.0000","0.0000","0.2483","-35.7969","0.0000","199.3774","200.0000","1.0400","10000.0000","44.49281224","-79.18136650"
"0.050","2.9091","3","0.0000","0.0000","0.2483","-35.7969","0.0000","199.3774","200.0000","1.0400","10000.0000","44.49281224","-79.18136650"
"0.100","2.9091","3","0.0000","0.0000","0.2483","-35.7969","0.0000","199.3774","200.0000","1.0400","10000.0000","44.49281224","-79.18136650"
"0.150","2.9091","3","0.0000","0.0000","0.2483","-35.7969","0.0000","199.3774","200.0000","1.0400","10000.0000","44.49281224","-79.18136650"
"0.200","2.9091","3","0.0000","0.0000","0.2483","-35.7969","0.0000","199.3774","200.0000","1.0400","10000.0000","44.49281224","-79.18136650"
"0.250","2.9091","3","0.0000","0.0000","0.2483","-35.7969","0.0000","199.3774","200.0000","1.0400","10000.0000","44.49281224","-79.18136650"
"0.300","2.9105","3","0.0001","0.0004","0.2417","-35.7897","0.0000","199.3773","200.0000","1.0400","10000.0000","44.49281225","-79.18136651"
"0.350","2.9802","3","0.0053","0.0202","-0.0915","-35.4312","0.0000","199.3756","200.0000","1.0400","10000.0000","44.49281271","-79.18136725"
"0.400","3.0505","3","0.0102","0.0398","-0.4168","-35.0836","0.0000","199.3735","200.0000","1.0401","10000.0000","44.49281316","-79.18136800"
"0.450","3.1468","3","0.0022","0.0473","-0.3517","-35.2696","0.0000","199.3472","200.0000","1.0451","10000.0000","44.49281358","-79.18136870"
"0.500","3.2427","3","-0.0052","0.0545","-0.2877","-35.4284","0.0000","199.3212","200.0000","1.0499","10000.0000","44.49281400","-79.18136940"
"0.550","3.3185","3","0.0164","0.0490","-0.2811","-34.2536","0.0000","199.3009","200.0000","1.0449","10000.0000","44.49281431","-79.18136957"
"0.600","3.3930","3","0.0373","0.0433","-0.2704","-33.1000","0.0000","199.2806","200.0000","1.0400","10000.0000","44.49281461","-79.18136973"
"0.650","3.4038","3","0.0205","0.0245","-0.0579","-32.9823","0.0000","199.2512","200.0000","1.0400","10000.0000","44.49281474","-79.18136978"
"0.700","3.4171","3","0.0017","0.0071","0.1503","-32.9990","0.0000","199.2217","200.0000","1.0404","10000.0000","44.49281488","-79.18136986"
"0.750","3.5588","3","-0.1107","0.0570","0.1417","-39.6008","0.0000","199.1831","200.0000","1.0604","10000.0000","44.49281522","-79.18137107"
"0.800","3.6986","3","-0.2198","0.1051","0.1313","-46.1307","-0.6015","199.1449","200.0000","1.0799","97.8675","44.49281556","-79.18137227"
