"Format","AiM CSV File"
"Session","GamebridgeK"
"Vehicle","GGR25"
"Racer","Faran_Kobe_James"
"Championship","TO Shootout"
"Comment",""
"Date","Saturday, October 4, 2025"
"Time","4:52 PM"
"Sample Rate","20"
"Duration","79.998"
"Segment","Session"
"Beacon Markers","26.902","70.959","79.998"
"Segment Times","0:26.902","0:44.057","0:09.039"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","12.1220","3","0.0000","0.0000","-0.0279","-32.7064","0.0000","194.3002","200.0000","10000.0000","10000.0000","44.49279910","-79.18120320"
"0.050","12.1220","3","0.0000","0.0000","-0.0279","-32.7064","0.0000","194.3002","200.0000","10000.0000","10000.0000","44.49279910","-79.18120320"
"0.100","12.1220","3","0.0000","0.0000","-0.0279","-32.7064","0.0000","194.3002","200.0000","10000.0000","10000.0000","44.49279910","-79.18120320"
"0.150","12.1220","3","0.0000","0.0000","-0.0279","-32.7064","0.0000","194.3002","200.0000","10000.0000","10000.0000","44.49279910","-79.18120320"
"0.200","12.1220","3","0.0000","0.0000","-0.0279","-32.7064","0.0000","194.3002","200.0000","10000.0000","10000.0000","44.49279910","-79.18120320"
"0.250","12.1220","3","0.0000","0.0000","-0.0279","-32.7064","0.0000","194.3002","200.0000","10000.0000","10000.0000","44.49279910","-79.18120320"
"0.300","12.1220","3","0.0000","0.0000","-0.0279","-32.7064","0.0000","194.3002","200.0000","10000.0000","10000.0000","44.49279910","-79.18120320"
"0.350","12.1220","3","0.0000","0.0000","-0.0279","-32.7064","0.0000","194.3002","200.0000","10000.0000","10000.0000","44.49279910","-79.18120320"
"0.400","12.1220","3","0.0000","0.0000","-0.0279","-32.7064","0.0000","194.3002","200.0000","10000.0000","10000.0000","44.49279910","-79.18120320"
"0.450","12.1220","3","0.0000","0.0000","-0.0279","-32.7064","0.0000","194.3002","200.0000","10000.0000","10000.0000","44.49279910","-79.18120320"
"0.500","12.1220","3","0.0000","0.0000","-0.0279","-32.7064","0.0000","194.3002","200.0000","10000.0000","10000.0000","44.49279910","-79.18120320"
"0.550","12.1220","3","0.0000","0.0000","-0.0279","-32.7064","0.0000","194.3002","200.0000","10000.0000","10000.0000","44.49279910","-79.18120320"
"0.600","12.1220","3","0.0000","0.0000","-0.0279","-32.7064","0.0000","194.3002","200.0000","10000.0000","10000.0000","44.49279910","-79.18120320"
"0.650","12.1220","3","0.0000","0.0000","-0.0279","-32.7064","0.0000","194.3002","200.0000","10000.0000","10000.0000","44.49279910","-79.18120320"
"0.700","12.1220","3","0.0000","0.0000","-0.0279","-32.7064","0.0000","194.3002","200.0000","10000.0000","10000.0000","44.49279910","-79.18120320"
"0.750","12.1220","3","0.0000","0.0000","-0.0279","-32.7064","0.0000","194.3002","200.0000","10000.0000","10000.0000","44.49279910","-79.18120320"
"0.800","12.1220","3","0.0000","0.0000","-0.0279","-32.7064","0.0000","194.3002","200.0000","10000.0000","10000.0000","44.49279910","-79.18120320"
