"Format","AiM CSV File"
"Session","BMP Var1"
"Vehicle","GGR25"
"Racer","Faran_Kobe_James"
"Championship","TO Shootout"
"Comment",""
"Date","Saturday, October 4, 2025"
"Time","10:23 AM"
"Sample Rate","20"
"Duration","67"
"Segment","Session"
"Beacon Markers","67"
"Segment Times","1:07.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","2.4187","9","0.0000","0.0000","0.4899","6.7011","0.0000","204.8222","200.0000","0.7800","10000.0000","44.49285304","-79.18135015"
"0.050","2.4187","9","0.0000","0.0000","0.4899","6.7011","0.0000","204.8222","200.0000","0.7800","10000.0000","44.49285304","-79.18135015"
"0.100","2.4187","9","0.0000","0.0000","0.4899","6.7011","0.0000","204.8222","200.0000","0.7800","10000.0000","44.49285304","-79.18135015"
"0.150","2.4187","9","0.0000","0.0000","0.4899","6.7011","0.0000","204.8222","200.0000","0.7800","10000.0000","44.49285304","-79.18135015"
"0.200","2.4187","9","0.0000","0.0000","0.4899","6.7011","0.0000","204.8222","200.0000","0.7800","10000.0000","44.49285304","-79.18135015"
"0.250","2.4187","9","0.0000","0.0000","0.4899","6.7011","0.0000","204.8222","200.0000","0.7800","10000.0000","44.49285304","-79.18135015"
"0.300","2.4187","9","0.0000","0.0000","0.4899","6.7011","0.0000","204.8222","200.0000","0.7800","10000.0000","44.49285304","-79.18135015"
"0.350","2.4187","9","0.0000","0.0000","0.4899","6.7011","0.0000","204.8222","200.0000","0.7800","10000.0000","44.49285304","-79.18135015"
"0.400","2.4187","9","0.0000","0.0000","0.4899","6.7011","0.0000","204.8222","200.0000","0.7800","10000.0000","44.49285304","-79.18135015"
"0.450","2.4187","9","0.0000","0.0000","0.4899","6.7011","0.0000","204.8222","200.0000","0.7800","10000.0000","44.49285304","-79.18135015"
"0.500","2.3290","9","-0.0388","-0.0203","0.5628","3.4208","0.0000","204.7522","200.0000","0.7668","10000.0000","44.49285288","-79.18135056"
"0.550","2.1253","9","-0.1269","-0.0665","0.7284","-4.0343","0.0000","204.5930","200.0000","0.7368","10000.0000","44.49285252","-79.18135151"
"0.600","1.9655","10","-0.1495","-0.0844","0.7407","-9.4162","0.0000","204.4338","200.0000","0.7090","10000.0000","44.49285205","-79.18135247"
"0.650","1.8617","10","-0.0886","-0.0663","0.5578","-12.1593","0.0000","204.2745","200.0000","0.6840","10000.0000","44.49285144","-79.18135347"
"0.700","1.7221","10","-0.0448","-0.0669","0.6081","-13.9584","0.0000","204.0953","200.0000","0.6656","10000.0000","44.49285057","-79.18135448"
"0.750","1.5369","10","-0.0229","-0.0912","0.9552","-14.5559","0.0000","203.8905","200.0000","0.6556","10000.0000","44.49284935","-79.18135551"
"0.800","1.4268","10","-0.0192","-0.0829","0.9816","-16.4280","0.0000","203.7526","200.0000","0.6412","10000.0000","44.49284837","-79.18135655"
"0.850","1.4122","10","-0.0385","-0.0331","0.5999","-19.9222","0.0000","203.6999","200.0000","0.6212","10000.0000","44.49284770","-79.18135761"
