"Format","AiM CSV File"
"Session","BMP Var1"
"Vehicle","GGR25"
"Racer","Faran_Kobe_James"
"Championship","TO Shootout"
"Comment",""
"Date","Saturday, October 4, 2025"
"Time","4:50 PM"
"Sample Rate","20"
"Duration","85"
"Segment","Session"
"Beacon Markers","85"
"Segment Times","1:25.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","7.3688","3","0.0000","0.0000","-0.0770","155.4459","0.0000","187.8142","200.0000","18.5500","10000.0000","44.49302359","-79.18184267"
"0.050","7.3688","3","0.0000","0.0000","-0.0770","155.4459","0.0000","187.8142","200.0000","18.5500","10000.0000","44.49302359","-79.18184267"
"0.100","7.3688","3","0.0000","0.0000","-0.0770","155.4459","0.0000","187.8142","200.0000","18.5500","10000.0000","44.49302359","-79.18184267"
"0.150","7.3688","3","0.0000","0.0000","-0.0770","155.4459","0.0000","187.8142","200.0000","18.5500","10000.0000","44.49302359","-79.18184267"
"0.200","7.3688","3","0.0000","0.0000","-0.0770","155.4459","0.0000","187.8142","200.0000","18.5500","10000.0000","44.49302359","-79.18184267"
"0.250","7.3688","3","0.0000","0.0000","-0.0770","155.4459","0.0000","187.8142","200.0000","18.5500","10000.0000","44.49302359","-79.18184267"
"0.300","7.3688","3","0.0000","0.0000","-0.0770","155.4459","0.0000","187.8142","200.0000","18.5500","10000.0000","44.49302359","-79.18184267"
"0.350","7.3688","3","0.0000","0.0000","-0.0770","155.4459","0.0000","187.8142","200.0000","18.5500","10000.0000","44.49302359","-79.18184267"
"0.400","7.3688","3","0.0000","0.0000","-0.0770","155.4459","0.0000","187.8142","200.0000","18.5500","10000.0000","44.49302359","-79.18184267"
"0.450","7.3688","3","0.0000","0.0000","-0.0770","155.4459","0.0000","187.8142","200.0000","18.5500","10000.0000","44.49302359","-79.18184267"
"0.500","7.3688","3","0.0000","0.0000","-0.0770","155.4459","0.0000","187.8142","200.0000","18.5500","10000.0000","44.49302359","-79.18184267"
"0.550","7.3688","3","0.0000","0.0000","-0.0770","155.4459","0.0000","187.8142","200.0000","18.5500","10000.0000","44.49302359","-79.18184267"
"0.600","7.3688","3","0.0000","0.0000","-0.0770","155.4459","0.0000","187.8142","200.0000","18.5500","10000.0000","44.49302359","-79.18184267"
"0.650","7.3688","3","0.0000","0.0000","-0.0770","155.4459","0.0000","187.8142","200.0000","18.5500","10000.0000","44.49302359","-79.18184267"
"0.700","7.3688","3","0.0000","0.0000","-0.0770","155.4459","0.0000","187.8142","200.0000","18.5500","10000.0000","44.49302359","-79.18184267"
"0.750","7.3688","3","0.0000","0.0000","-0.0770","155.4459","0.0000","187.8142","200.0000","18.5500","10000.0000","44.49302359","-79.18184267"
"0.800","7.3688","3","0.0000","0.0000","-0.0770","155.4459","0.0000","187.8142","200.0000","18.5500","10000.0000","44.49302359","-79.18184267"
"0.850","7.3688","3","0.0000","0.0000","-0.0770","155.4459","0.0000","187.8142","200.0000","18.5500","10000.0000","44.49302359","-79.18184267"
