"Format","AiM CSV File"
"Session","BMP Var1"
"Vehicle","GGR25"
"Racer",""
"Championship","TO Shootout"
"Comment",""
"Date","Saturday, October 4, 2025"
"Time","9:39 AM"
"Sample Rate","20"
"Duration","173"
"Segment","Session"
"Beacon Markers","173"
"Segment Times","2:53.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","0.4089","8","0.0000","0.0000","33.3524","84.7114","0.0000","182.3014","73.6000","0.4400","10000.0000","44.49319344","-79.18127499"
"0.050","0.4089","8","0.0000","0.0000","33.3524","84.7114","0.0000","182.3014","73.6000","0.4400","10000.0000","44.49319344","-79.18127499"
"0.100","0.4089","8","0.0000","0.0000","33.3524","84.7114","0.0000","182.3014","73.6000","0.4400","10000.0000","44.49319344","-79.18127499"
"0.150","0.4089","8","0.0000","0.0000","33.3524","84.7114","0.0000","182.3014","73.6000","0.4400","10000.0000","44.49319344","-79.18127499"
"0.200","0.4089","8","0.0000","0.0000","33.3524","84.7114","0.0000","182.3014","73.6000","0.4400","10000.0000","44.49319344","-79.18127499"
"0.250","0.4089","8","0.0000","0.0000","33.3524","84.7114","0.0000","182.3014","73.6000","0.4400","10000.0000","44.49319344","-79.18127499"
"0.300","0.4089","8","0.0000","0.0000","33.3524","84.7114","0.0000","182.3014","73.6000","0.4400","10000.0000","44.49319344","-79.18127499"
"0.350","0.4089","8","0.0000","0.0000","33.3524","84.7114","0.0000","182.3014","73.6000","0.4400","10000.0000","44.49319344","-79.18127499"
"0.400","0.4089","8","0.0000","0.0000","33.3524","84.7114","0.0000","182.3014","73.6000","0.4400","10000.0000","44.49319344","-79.18127499"
"0.450","0.4089","8","0.0000","0.0000","33.3524","84.7114","0.0000","182.3014","73.6000","0.4400","10000.0000","44.49319344","-79.18127499"
"0.500","0.4089","8","0.0000","0.0000","33.3524","84.7114","0.0000","182.3014","73.6000","0.4400","10000.0000","44.49319344","-79.18127499"
"0.550","0.3933","8","0.0000","0.0000","33.0931","85.8031","0.0000","182.2861","73.6000","0.4367","10000.0000","44.49319332","-79.18127491"
"0.600","0.3698","8","0.0000","0.0000","32.7003","87.4573","0.0000","182.2629","73.6000","0.4317","10000.0000","44.49319315","-79.18127477"
"0.650","0.3570","8","0.0000","0.0000","34.4566","96.5632","0.0000","182.2627","73.5670","0.4234","10000.0000","44.49319290","-79.18127448"
"0.700","0.3497","8","0.0000","0.0000","37.3200","109.5080","0.0000","182.2744","73.5170","0.4134","10000.0000","44.49319260","-79.18127410"
"0.750","0.3174","8","0.0000","0.0000","43.3101","79.8762","0.0000","182.2778","73.4670","0.3704","10000.0000","44.49319239","-79.18127383"
"0.800","0.2724","8","0.0000","0.0000","50.9108","28.3110","0.0000","182.2770","73.4170","0.3104","10000.0000","44.49319220","-79.18127361"
"0.850","0.2362","8","0.0000","0.0000","51.8782","43.2203","0.0000","182.2461","73.4000","0.3164","10000.0000","44.49319191","-79.18127335"
