"Format","AiM CSV File"
"Session","BMP Var2"
"Vehicle","GGR25"
"Racer","Faran_Kobe_James"
"Championship","TO Shootout"
"Comment",""
"Date","Saturday, October 4, 2025"
"Time","12:19 PM"
"Sample Rate","20"
"Duration","151.998"
"Segment","Session"
"Beacon Markers","61.784","107.468","151.998"
"Segment Times","1:01.784","0:45.684","0:44.530"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","3.4018","3","0.0000","0.0000","-0.0852","-98.4470","0.0000","198.7896","200.0000","15.8200","10000.0000","44.49259529","-79.18121217"
"0.050","3.4018","3","0.0000","0.0000","-0.0852","-98.4470","0.0000","198.7896","200.0000","15.8200","10000.0000","44.49259529","-79.18121217"
"0.100","3.4018","3","0.0000","0.0000","-0.0852","-98.4470","0.0000","198.7896","200.0000","15.8200","10000.0000","44.49259529","-79.18121217"
"0.150","3.4018","3","0.0000","0.0000","-0.0852","-98.4470","0.0000","198.7896","200.0000","15.8200","10000.0000","44.49259529","-79.18121217"
"0.200","3.4018","3","0.0000","0.0000","-0.0852","-98.4470","0.0000","198.7896","200.0000","15.8200","10000.0000","44.49259529","-79.18121217"
"0.250","3.4018","3","0.0000","0.0000","-0.0852","-98.4470","0.0000","198.7896","200.0000","15.8200","10000.0000","44.49259529","-79.18121217"
"0.300","3.4018","3","0.0000","0.0000","-0.0852","-98.4470","0.0000","198.7896","200.0000","15.8200","10000.0000","44.49259529","-79.18121217"
"0.350","3.4018","3","0.0000","0.0000","-0.0852","-98.4470","0.0000","198.7896","200.0000","15.8200","10000.0000","44.49259529","-79.18121217"
"0.400","3.4018","3","0.0000","0.0000","-0.0852","-98.4470","0.0000","198.7896","200.0000","15.8200","10000.0000","44.49259529","-79.18121217"
"0.450","3.4018","3","0.0000","0.0000","-0.0852","-98.4470","0.0000","198.7896","200.0000","15.8200","10000.0000","44.49259529","-79.18121217"
"0.500","3.4018","3","0.0000","0.0000","-0.0852","-98.4470","0.0000","198.7896","200.0000","15.8200","10000.0000","44.49259529","-79.18121217"
"0.550","3.4018","3","0.0000","0.0000","-0.0852","-98.4470","0.0000","198.7896","200.0000","15.8200","10000.0000","44.49259529","-79.18121217"
"0.600","3.4018","3","0.0000","0.0000","-0.0852","-98.4470","0.0000","198.7896","200.0000","15.8200","10000.0000","44.49259529","-79.18121217"
"0.650","3.4018","3","0.0000","0.0000","-0.0852","-98.4470","0.0000","198.7896","200.0000","15.8200","10000.0000","44.49259529","-79.18121217"
"0.700","3.4018","3","0.0000","0.0000","-0.0852","-98.4470","0.0000","198.7896","200.0000","15.8200","10000.0000","44.49259529","-79.18121217"
"0.750","3.4018","3","0.0000","0.0000","-0.0852","-98.4470","0.0000","198.7896","200.0000","15.8200","10000.0000","44.49259529","-79.18121217"
"0.800","3.4018","3","0.0000","0.0000","-0.0852","-98.4470","0.0000","198.7896","200.0000","15.8200","10000.0000","44.49259529","-79.18121217"
