"Format","AiM CSV File"
"Session","BMP Var2"
"Vehicle","GGR25"
"Racer","Faran_Kobe_James"
"Championship","TO Shootout"
"Comment",""
"Date","Saturday, October 4, 2025"
"Time","1:07 PM"
"Sample Rate","20"
"Duration","19"
"Segment","Session"
"Beacon Markers","19"
"Segment Times","0:19.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","1.8685","7","0.0000","0.0000","-55.9519","128.3446","0.0000","199.6266","67.2000","0.3200","10000.0000","44.49320653","-79.18098583"
"0.050","1.8685","7","0.0000","0.0000","-55.9519","128.3446","0.0000","199.6266","67.2000","0.3200","10000.0000","44.49320653","-79.18098583"
"0.100","1.8685","7","0.0000","0.0000","-55.9519","128.3446","0.0000","199.6266","67.2000","0.3200","10000.0000","44.49320653","-79.18098583"
"0.150","1.8685","7","0.0000","0.0000","-55.9519","128.3446","0.0000","199.6266","67.2000","0.3200","10000.0000","44.49320653","-79.18098583"
"0.200","1.8685","7","0.0000","0.0000","-55.9519","128.3446","0.0000","199.6266","67.2000","0.3200","10000.0000","44.49320653","-79.18098583"
"0.250","1.8685","7","0.0000","0.0000","-55.9519","128.3446","0.0000","199.6266","67.2000","0.3200","10000.0000","44.49320653","-79.18098583"
"0.300","1.8676","7","-0.0021","-0.0001","-55.9293","127.9309","0.0000","199.6270","67.1970","0.3203","10000.0000","44.49320653","-79.18098582"
"0.350","1.8519","7","-0.0374","-0.0021","-55.5532","121.0367","0.0000","199.6325","67.1470","0.3253","10000.0000","44.49320641","-79.18098566"
"0.400","1.8351","7","-0.0698","-0.0044","-55.2041","114.3094","0.0000","199.6378","67.0970","0.3300","10000.0000","44.49320631","-79.18098550"
"0.450","1.8028","7","-0.0557","-0.0107","-55.2778","110.1984","0.0000","199.6398","67.0470","0.3300","10000.0000","44.49320629","-79.18098531"
"0.500","1.7710","8","-0.0400","-0.0164","-55.4542","106.5708","0.0000","199.6398","66.9970","0.3297","10000.0000","44.49320626","-79.18098514"
"0.550","1.7473","8","0.0008","-0.0137","-57.2389","110.5157","0.0000","199.6082","66.9470","0.3247","10000.0000","44.49320610","-79.18098511"
"0.600","1.7241","8","0.0393","-0.0109","-58.8780","114.5257","0.0000","199.5784","66.8970","0.3200","10000.0000","44.49320594","-79.18098509"
"0.650","1.7091","8","0.0418","-0.0085","-58.2359","119.5557","0.0000","199.5756","66.8470","0.3200","10000.0000","44.49320577","-79.18098505"
"0.700","1.6980","8","0.0428","-0.0052","-57.4537","124.3009","0.0000","199.5727","66.7970","0.3203","10000.0000","44.49320561","-79.18098500"
"0.750","1.7476","8","0.0221","0.0133","-54.4757","124.5835","0.0000","199.5683","66.7470","0.3253","10000.0000","44.49320546","-79.18098476"
"0.800","1.7926","8","0.0015","0.0293","-51.7038","124.6673","0.0000","199.5641","66.6940","0.3300","10000.0000","44.49320532","-79.18098454"
"0.850","1.7657","8","-0.0164","0.0069","-52.1609","121.6372","0.0000","199.5620","66.5940","0.3300","10000.0000","44.49320527","-79.18098441"
