"Format","AiM CSV File"
"Session","BMP Var2"
"Vehicle","GGR25"
"Racer","Faran_Kobe_James"
"Championship","TO Shootout"
"Comment",""
"Date","Saturday, October 4, 2025"
"Time","4:10 PM"
"Sample Rate","20"
"Duration","262.997"
"Segment","Session"
"Beacon Markers","125.221","172.257","215.905","262.997"
"Segment Times","2:05.221","0:47.036","0:43.648","0:47.092"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","1.9168","12","0.0000","0.0000","32.2503","-98.7956","0.0000","207.3077","62.8000","0.4500","10000.0000","44.49276105","-79.18122301"
"0.050","1.9168","12","0.0000","0.0000","32.2503","-98.7956","0.0000","207.3077","62.8000","0.4500","10000.0000","44.49276105","-79.18122301"
"0.100","1.9168","12","0.0000","0.0000","32.2503","-98.7956","0.0000","207.3077","62.8000","0.4500","10000.0000","44.49276105","-79.18122301"
"0.150","1.9168","12","0.0000","0.0000","32.2503","-98.7956","0.0000","207.3077","62.8000","0.4500","10000.0000","44.49276105","-79.18122301"
"0.200","1.9168","12","0.0000","0.0000","32.2503","-98.7956","0.0000","207.3077","62.8000","0.4500","10000.0000","44.49276105","-79.18122301"
"0.250","1.9374","12","-0.0038","0.0060","31.9461","-99.2677","0.0000","207.3177","62.8000","0.4500","10000.0000","44.49276099","-79.18122317"
"0.300","2.0019","12","-0.0156","0.0246","30.9952","-100.7429","0.0000","207.3487","62.8000","0.4500","10000.0000","44.49276077","-79.18122364"
"0.350","2.0971","12","-0.0103","0.0466","29.7335","-100.6457","0.0000","207.3921","62.8000","0.4548","10000.0000","44.49276070","-79.18122422"
"0.400","2.2577","12","0.0315","0.0757","27.8109","-97.2071","0.0000","207.4618","62.8000","0.4698","10000.0000","44.49276090","-79.18122500"
"0.450","2.3778","12","0.0521","0.0833","26.4420","-94.6968","0.0000","207.5358","62.8000","0.4816","10000.0000","44.49276100","-79.18122573"
"0.500","2.4117","12","0.0278","0.0452","26.2498","-94.1592","0.0000","207.6187","62.8000","0.4866","10000.0000","44.49276090","-79.18122634"
"0.550","2.3960","12","0.0304","0.0075","26.7856","-91.8436","0.0000","207.6936","62.8000","0.4900","10000.0000","44.49276087","-79.18122682"
"0.600","2.2748","12","0.0901","-0.0296","28.8684","-85.7499","0.0000","207.7519","62.8000","0.4900","10000.0000","44.49276099","-79.18122703"
"0.650","2.1306","12","0.1257","-0.0613","31.5886","-79.9032","0.0000","207.8091","62.8000","0.4868","10000.0000","44.49276105","-79.18122712"
"0.700","1.9375","12","0.1098","-0.0819","35.6633","-74.5814","0.0000","207.8644","62.8000","0.4768","10000.0000","44.49276100","-79.18122697"
"0.750","1.7775","12","0.1138","-0.0828","39.1647","-66.4022","0.0000","207.9174","62.8000","0.4700","10000.0000","44.49276106","-79.18122679"
"0.800","1.6880","12","0.1599","-0.0416","41.4476","-52.1511","0.0000","207.9656","62.8000","0.4700","10000.0000","44.49276132","-79.18122657"
