"Format","AiM CSV File"
"Session","BMP Var2"
"Vehicle","GGR25"
"Racer","Faran_Kobe_James"
"Championship","TO Shootout"
"Comment",""
"Date","Saturday, October 4, 2025"
"Time","9:39 AM"
"Sample Rate","20"
"Duration","41"
"Segment","Session"
"Beacon Markers","41"
"Segment Times","0:41.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","0.3993","6","0.0000","0.0000","42.3538","-72.4430","0.0000","215.8654","102.5000","0.4400","10000.0000","44.49316288","-79.18100276"
"0.050","0.3993","6","0.0000","0.0000","42.3538","-72.4430","0.0000","215.8654","102.5000","0.4400","10000.0000","44.49316288","-79.18100276"
"0.100","0.3993","6","0.0000","0.0000","42.3538","-72.4430","0.0000","215.8654","102.5000","0.4400","10000.0000","44.49316288","-79.18100276"
"0.150","0.3993","6","0.0000","0.0000","42.3538","-72.4430","0.0000","215.8654","102.5000","0.4400","10000.0000","44.49316288","-79.18100276"
"0.200","0.3993","6","0.0000","0.0000","42.3538","-72.4430","0.0000","215.8654","102.5000","0.4400","10000.0000","44.49316288","-79.18100276"
"0.250","0.3993","6","0.0000","0.0000","42.3538","-72.4430","0.0000","215.8654","102.5000","0.4400","10000.0000","44.49316288","-79.18100276"
"0.300","0.3993","6","0.0000","0.0000","42.3538","-72.4430","0.0000","215.8654","102.5000","0.4400","10000.0000","44.49316288","-79.18100276"
"0.350","0.3993","6","0.0000","0.0000","42.3538","-72.4430","0.0000","215.8654","102.5000","0.4400","10000.0000","44.49316288","-79.18100276"
"0.400","0.3993","6","0.0000","0.0000","42.3538","-72.4430","0.0000","215.8654","102.5000","0.4400","10000.0000","44.49316288","-79.18100276"
"0.450","0.3993","6","0.0000","0.0000","42.3538","-72.4430","0.0000","215.8654","102.5000","0.4400","10000.0000","44.49316288","-79.18100276"
"0.500","0.3993","6","0.0000","0.0000","42.3538","-72.4430","0.0000","215.8654","102.5000","0.4400","10000.0000","44.49316288","-79.18100276"
"0.550","0.3662","6","0.0000","0.0000","49.3638","-87.2915","0.0000","215.8769","102.5000","0.3971","10000.0000","44.49316290","-79.18100256"
"0.600","0.3161","6","0.0000","0.0000","59.9849","-109.7892","0.0000","215.8943","102.5000","0.3321","10000.0000","44.49316294","-79.18100227"
"0.650","0.3786","6","0.0000","0.0000","51.4764","-43.4554","0.0000","215.8857","102.5000","0.3991","10000.0000","44.49316299","-79.18100175"
"0.700","0.4990","6","0.0000","0.0000","33.1132","68.6403","0.0000","215.8637","102.5000","0.5341","10000.0000","44.49316306","-79.18100112"
"0.750","0.4925","6","0.0000","0.0000","28.3175","122.1608","0.0000","215.7789","102.5000","0.5833","10000.0000","44.49316327","-79.18100150"
"0.800","0.4205","6","0.0000","0.0000","30.5110","145.5063","0.0000","215.6617","102.5000","0.5883","10000.0000","44.49316355","-79.18100240"
"0.850","0.3899","6","0.0000","0.0000","31.5358","155.1909","0.0000","215.5703","102.5000","0.5867","10000.0000","44.49316381","-79.18100310"
