"Format","AiM CSV File"
"Session","BMP Var3"
"Vehicle","GGR25"
"Racer","Faran_Kobe_James"
"Championship","TO Shootout"
"Comment",""
"Date","Saturday, October 4, 2025"
"Time","11:12 AM"
"Sample Rate","20"
"Duration","189.997"
"Segment","Session"
"Beacon Markers","52.295","96.512","138.917","189.997"
"Segment Times","0:52.295","0:44.217","0:42.405","0:51.080"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","38.1543","3","0.0000","0.0000","0.0268","161.3534","0.0000","207.8651","200.0000","10000.0000","10000.0000","44.49243255","-79.18105696"
"0.050","38.1543","3","0.0000","0.0000","0.0268","161.3534","0.0000","207.8651","200.0000","10000.0000","10000.0000","44.49243255","-79.18105696"
"0.100","38.1543","3","0.0000","0.0000","0.0268","161.3534","0.0000","207.8651","200.0000","10000.0000","10000.0000","44.49243255","-79.18105696"
"0.150","38.1543","3","0.0000","0.0000","0.0268","161.3534","0.0000","207.8651","200.0000","10000.0000","10000.0000","44.49243255","-79.18105696"
"0.200","38.1543","3","0.0000","0.0000","0.0268","161.3534","0.0000","207.8651","200.0000","10000.0000","10000.0000","44.49243255","-79.18105696"
"0.250","38.1543","3","0.0000","0.0000","0.0268","161.3534","0.0000","207.8651","200.0000","10000.0000","10000.0000","44.49243255","-79.18105696"
"0.300","38.1543","3","0.0000","0.0000","0.0268","161.3534","0.0000","207.8651","200.0000","10000.0000","10000.0000","44.49243255","-79.18105696"
"0.350","38.1543","3","0.0000","0.0000","0.0268","161.3534","0.0000","207.8651","200.0000","10000.0000","10000.0000","44.49243255","-79.18105696"
"0.400","38.1543","3","0.0000","0.0000","0.0268","161.3534","0.0000","207.8651","200.0000","10000.0000","10000.0000","44.49243255","-79.18105696"
"0.450","38.1543","3","0.0000","0.0000","0.0268","161.3534","0.0000","207.8651","200.0000","10000.0000","10000.0000","44.49243255","-79.18105696"
"0.500","38.1543","3","0.0000","0.0000","0.0268","161.3534","0.0000","207.8651","200.0000","10000.0000","10000.0000","44.49243255","-79.18105696"
"0.550","38.1543","3","0.0000","0.0000","0.0268","161.3534","0.0000","207.8651","200.0000","10000.0000","10000.0000","44.49243255","-79.18105696"
"0.600","38.1543","3","0.0000","0.0000","0.0268","161.3534","0.0000","207.8651","200.0000","10000.0000","10000.0000","44.49243255","-79.18105696"
"0.650","38.1543","3","0.0000","0.0000","0.0268","161.3534","0.0000","207.8651","200.0000","10000.0000","10000.0000","44.49243255","-79.18105696"
"0.700","38.1543","3","0.0000","0.0000","0.0268","161.3534","0.0000","207.8651","200.0000","10000.0000","10000.0000","44.49243255","-79.18105696"
"0.750","38.1543","3","0.0000","0.0000","0.0268","161.3534","0.0000","207.8651","200.0000","10000.0000","10000.0000","44.49243255","-79.18105696"
"0.800","38.1543","3","0.0000","0.0000","0.0268","161.3534","0.0000","207.8651","200.0000","10000.0000","10000.0000","44.49243255","-79.18105696"
