"Format","AiM CSV File"
"Session","BMP Var3"
"Vehicle","GGR25"
"Racer","Faran_Kobe_James"
"Championship","TO Shootout"
"Comment",""
"Date","Saturday, October 4, 2025"
"Time","12:25 PM"
"Sample Rate","20"
"Duration","74.999"
"Segment","Session"
"Beacon Markers","20.26","74.999"
"Segment Times","0:20.260","0:54.739"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","6.3809","3","0.0000","0.0000","-0.1717","-162.5619","0.0000","204.6979","200.0000","11.4400","10000.0000","44.49287521","-79.18130009"
"0.050","6.3809","3","0.0000","0.0000","-0.1717","-162.5619","0.0000","204.6979","200.0000","11.4400","10000.0000","44.49287521","-79.18130009"
"0.100","6.3809","3","0.0000","0.0000","-0.1717","-162.5619","0.0000","204.6979","200.0000","11.4400","10000.0000","44.49287521","-79.18130009"
"0.150","6.3809","3","0.0000","0.0000","-0.1717","-162.5619","0.0000","204.6979","200.0000","11.4400","10000.0000","44.49287521","-79.18130009"
"0.200","6.3809","3","0.0000","0.0000","-0.1717","-162.5619","0.0000","204.6979","200.0000","11.4400","10000.0000","44.49287521","-79.18130009"
"0.250","6.3809","3","0.0000","0.0000","-0.1717","-162.5619","0.0000","204.6979","200.0000","11.4400","10000.0000","44.49287521","-79.18130009"
"0.300","6.3809","3","0.0000","0.0000","-0.1717","-162.5619","0.0000","204.6979","200.0000","11.4400","10000.0000","44.49287521","-79.18130009"
"0.350","6.3809","3","0.0000","0.0000","-0.1717","-162.5619","0.0000","204.6979","200.0000","11.4400","10000.0000","44.49287521","-79.18130009"
"0.400","6.3809","3","0.0000","0.0000","-0.1717","-162.5619","0.0000","204.6979","200.0000","11.4400","10000.0000","44.49287521","-79.18130009"
"0.450","6.3809","3","0.0000","0.0000","-0.1717","-162.5619","0.0000","204.6979","200.0000","11.4400","10000.0000","44.49287521","-79.18130009"
"0.500","6.3809","3","0.0000","0.0000","-0.1717","-162.5619","0.0000","204.6979","200.0000","11.4400","10000.0000","44.49287521","-79.18130009"
"0.550","6.3809","3","0.0000","0.0000","-0.1717","-162.5619","0.0000","204.6979","200.0000","11.4400","10000.0000","44.49287521","-79.18130009"
"0.600","6.3809","3","0.0000","0.0000","-0.1717","-162.5619","0.0000","204.6979","200.0000","11.4400","10000.0000","44.49287521","-79.18130009"
"0.650","6.3809","3","0.0000","0.0000","-0.1717","-162.5619","0.0000","204.6979","200.0000","11.4400","10000.0000","44.49287521","-79.18130009"
"0.700","6.3809","3","0.0000","0.0000","-0.1717","-162.5619","0.0000","204.6979","200.0000","11.4400","10000.0000","44.49287521","-79.18130009"
"0.750","6.3809","3","0.0000","0.0000","-0.1717","-162.5619","0.0000","204.6979","200.0000","11.4400","10000.0000","44.49287521","-79.18130009"
"0.800","6.3809","3","0.0000","0.0000","-0.1717","-162.5619","0.0000","204.6979","200.0000","11.4400","10000.0000","44.49287521","-79.18130009"
