"Format","AiM CSV File"
"Session","BMP Var4"
"Vehicle","GGR25"
"Racer","Faran"
"Championship","TO Shootout"
"Comment",""
"Date","Saturday, October 4, 2025"
"Time","10:27 AM"
"Sample Rate","20"
"Duration","83.998"
"Segment","Session"
"Beacon Markers","12.231","59.336","83.998"
"Segment Times","0:12.231","0:47.105","0:24.662"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","0.2621","15","0.0000","0.0000","-36.8815","-119.7623","0.0000","207.2061","34.2000","0.2100","10000.0000","44.49288999","-79.18138072"
"0.050","0.2621","15","0.0000","0.0000","-36.8815","-119.7623","0.0000","207.2061","34.2000","0.2100","10000.0000","44.49288999","-79.18138072"
"0.100","0.2621","15","0.0000","0.0000","-36.8815","-119.7623","0.0000","207.2061","34.2000","0.2100","10000.0000","44.49288999","-79.18138072"
"0.150","0.2621","15","0.0000","0.0000","-36.8815","-119.7623","0.0000","207.2061","34.2000","0.2100","10000.0000","44.49288999","-79.18138072"
"0.200","0.2621","15","0.0000","0.0000","-36.8815","-119.7623","0.0000","207.2061","34.2000","0.2100","10000.0000","44.49288999","-79.18138072"
"0.250","0.2621","15","0.0000","0.0000","-36.8815","-119.7623","0.0000","207.2061","34.2000","0.2100","10000.0000","44.49288999","-79.18138072"
"0.300","0.2621","15","0.0000","0.0000","-36.8815","-119.7623","0.0000","207.2061","34.2000","0.2100","10000.0000","44.49288999","-79.18138072"
"0.350","0.2872","15","0.0000","0.0000","-31.9645","-127.1458","0.0000","207.1952","34.1630","0.2248","10000.0000","44.49288995","-79.18138076"
"0.400","0.3211","15","0.0000","0.0000","-25.3199","-137.1235","0.0000","207.1805","34.1130","0.2448","10000.0000","44.49288989","-79.18138081"
"0.450","0.3185","15","0.0000","0.0000","-25.7179","-147.2000","0.0000","207.1772","34.1000","0.2537","10000.0000","44.49288982","-79.18138079"
"0.500","0.3031","15","0.0000","0.0000","-28.5903","-157.3112","0.0000","207.1779","34.1000","0.2587","10000.0000","44.49288976","-79.18138074"
"0.550","0.3249","15","0.0000","0.0000","-30.4228","-160.2328","0.0000","207.1837","34.0630","0.2637","10000.0000","44.49288973","-79.18138069"
"0.600","0.3598","15","0.0000","0.0000","-31.8898","-160.6283","0.0000","207.1914","34.0130","0.2687","10000.0000","44.49288973","-79.18138064"
"0.650","0.3813","15","0.0000","0.0000","-31.1031","-39.1475","0.0000","207.1939","34.0000","0.2737","10000.0000","44.49288968","-79.18138059"
"0.700","0.3981","15","0.0000","0.0000","-29.5244","125.1547","0.0000","207.1946","34.0000","0.2787","10000.0000","44.49288961","-79.18138054"
"0.750","0.3983","15","0.0000","0.0000","-29.1601","169.9625","0.0000","207.2030","33.9630","0.2800","10000.0000","44.49288956","-79.18138050"
"0.800","0.3925","15","0.0000","0.0000","-29.2224","172.7859","0.0000","207.2142","33.9130","0.2800","10000.0000","44.49288953","-79.18138046"
