"Format","AiM CSV File"
"Session","45.392°N, 75.696°W"
"Vehicle","GGR25"
"Racer","Faran"
"Championship",""
"Comment",""
"Date","Saturday, September 20, 2025"
"Time","4:02 PM"
"Sample Rate","20"
"Duration","11"
"Segment","Session"
"Beacon Markers","11"
"Segment Times","0:11.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","0.0624","13","0.0000","0.0000","6.7952","44.9959","0.0000","31.8751","22.3000","0.2000","10000.0000","45.39204686","-75.69665979"
"0.050","0.0624","13","0.0000","0.0000","6.7952","44.9959","0.0000","31.8751","22.3000","0.2000","10000.0000","45.39204686","-75.69665979"
"0.100","0.0624","13","0.0000","0.0000","6.7952","44.9959","0.0000","31.8751","22.3000","0.2000","10000.0000","45.39204686","-75.69665979"
"0.150","0.0624","13","0.0000","0.0000","6.7952","44.9959","0.0000","31.8751","22.3000","0.2000","10000.0000","45.39204686","-75.69665979"
"0.200","0.0624","13","0.0000","0.0000","6.7952","44.9959","0.0000","31.8751","22.3000","0.2000","10000.0000","45.39204686","-75.69665979"
"0.250","0.0624","13","0.0000","0.0000","6.7952","44.9959","0.0000","31.8751","22.3000","0.2000","10000.0000","45.39204686","-75.69665979"
"0.300","0.0624","13","0.0000","0.0000","6.7952","44.9959","0.0000","31.8751","22.3000","0.2000","10000.0000","45.39204686","-75.69665979"
"0.350","0.0624","13","0.0000","0.0000","6.7952","44.9959","0.0000","31.8751","22.3000","0.2000","10000.0000","45.39204686","-75.69665979"
"0.400","0.0624","13","0.0000","0.0000","6.7952","44.9959","0.0000","31.8751","22.3000","0.2000","10000.0000","45.39204686","-75.69665979"
"0.450","0.0624","13","0.0000","0.0000","6.7952","44.9959","0.0000","31.8751","22.3000","0.2000","10000.0000","45.39204686","-75.69665979"
"0.500","0.0624","13","0.0000","0.0000","6.7952","44.9959","0.0000","31.8751","22.3000","0.2000","10000.0000","45.39204686","-75.69665979"
"0.550","0.0624","13","0.0000","0.0000","6.7952","44.9959","0.0000","31.8751","22.3000","0.2000","10000.0000","45.39204686","-75.69665979"
"0.600","0.0834","13","0.0000","0.0000","5.5779","18.4420","0.0000","31.8823","22.3000","0.2064","10000.0000","45.39204683","-75.69665985"
"0.650","0.1492","13","0.0000","0.0000","1.7740","-64.5390","0.0000","31.9047","22.3000","0.2264","10000.0000","45.39204676","-75.69666005"
"0.700","0.1811","13","0.0000","0.0000","2.8886","-83.2763","0.0000","31.9280","22.3000","0.2288","10000.0000","45.39204669","-75.69666019"
"0.750","0.1411","13","0.0000","0.0000","14.4549","34.5039","0.0000","31.9531","22.3000","0.1938","10000.0000","45.39204666","-75.69666019"
"0.800","0.1085","13","0.0000","0.0000","21.8555","97.3358","0.0000","31.9766","22.3000","0.1684","10000.0000","45.39204661","-75.69666023"
"0.850","0.0918","13","0.0000","0.0000","20.4042","43.4023","0.0000","31.9965","22.3000","0.1634","10000.0000","45.39204656","-75.69666036"
