"Format","AiM CSV File"
"Session","45.392°N, 75.696°W"
"Vehicle","GGR25"
"Racer","Ben"
"Championship",""
"Comment",""
"Date","Sunday, September 21, 2025"
"Time","12:33 PM"
"Sample Rate","20"
"Duration","31"
"Segment","Session"
"Beacon Markers","31"
"Segment Times","0:31.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","0.0805","14","0.0000","0.0000","-33.9987","148.4860","0.0000","35.7273","30.9000","0.1700","10000.0000","45.39160005","-75.69633115"
"0.050","0.0805","14","0.0000","0.0000","-33.9987","148.4860","0.0000","35.7273","30.9000","0.1700","10000.0000","45.39160005","-75.69633115"
"0.100","0.0805","14","0.0000","0.0000","-33.9987","148.4860","0.0000","35.7273","30.9000","0.1700","10000.0000","45.39160005","-75.69633115"
"0.150","0.0805","14","0.0000","0.0000","-33.9987","148.4860","0.0000","35.7273","30.9000","0.1700","10000.0000","45.39160005","-75.69633115"
"0.200","0.0805","14","0.0000","0.0000","-33.9987","148.4860","0.0000","35.7273","30.9000","0.1700","10000.0000","45.39160005","-75.69633115"
"0.250","0.0805","14","0.0000","0.0000","-33.9987","148.4860","0.0000","35.7273","30.9000","0.1700","10000.0000","45.39160005","-75.69633115"
"0.300","0.0805","14","0.0000","0.0000","-33.9987","148.4860","0.0000","35.7273","30.9000","0.1700","10000.0000","45.39160005","-75.69633115"
"0.350","0.0824","14","0.0000","0.0000","-31.9351","127.5422","0.0000","35.7319","30.9000","0.1770","10000.0000","45.39160004","-75.69633114"
"0.400","0.0962","14","0.0000","0.0000","-17.1952","-22.0560","0.0000","35.7647","30.9000","0.2270","10000.0000","45.39159993","-75.69633111"
"0.450","0.1298","14","0.0000","0.0000","-4.7465","-149.0471","0.0000","35.7891","30.9000","0.2707","10000.0000","45.39159985","-75.69633111"
"0.500","0.2857","14","0.0000","0.0000","-6.3718","-137.1662","0.0000","35.7613","30.9000","0.2757","10000.0000","45.39159991","-75.69633130"
"0.550","0.3988","14","0.0000","0.0000","-9.6914","-123.5948","0.0000","35.7354","30.9000","0.2758","10000.0000","45.39159997","-75.69633146"
"0.600","0.2486","14","0.0000","0.0000","-23.4181","-99.6391","0.0000","35.7207","30.9000","0.2458","10000.0000","45.39160004","-75.69633147"
"0.650","0.1296","14","0.0000","0.0000","-33.8390","-80.2946","0.0000","35.7065","30.9000","0.2228","10000.0000","45.39160011","-75.69633150"
"0.700","0.2021","14","0.0000","0.0000","-23.9534","-89.2760","0.0000","35.6944","30.9000","0.2428","10000.0000","45.39160015","-75.69633159"
"0.750","0.2584","14","0.0000","0.0000","-15.3118","-78.8448","0.0000","35.6882","30.9000","0.2572","10000.0000","45.39160018","-75.69633165"
"0.800","0.2143","14","0.0000","0.0000","-14.3124","50.8347","0.0000","35.7185","30.9000","0.2372","10000.0000","45.39160010","-75.69633155"
"0.850","0.1676","14","0.0000","0.0000","-15.1115","148.2063","0.0000","35.7439","30.9000","0.2200","10000.0000","45.39160003","-75.69633146"
